approval_flow_id,approval_flow_name,approval_flow_track_number,fk_approve_item_id,fk_account_system_id,approval_flow_is_active,approval_flow_created_by,approval_flow_created_date,approval_flow_last_modified_by,approval_flow_last_modified_date,fk_approval_id,fk_status_id
1,Global Account System account system workflow,APOW-15812,1,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
2,Global Account System approval workflow,APOW-71503,2,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
3,Global Account System bank workflow,APOW-27312,5,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
4,Global Account System budget workflow,APOW-69058,6,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
5,Global Account System budget item workflow,APOW-1194,7,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
6,Global Account System budget item detail workflow,APOW-5882,8,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
7,Global Account System cheque book workflow,APOW-6840,9,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
8,Global Account System context center workflow,APOW-23978,11,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
9,Global Account System context center user workflow,APOW-46793,12,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
10,Global Account System context cluster workflow,APOW-40074,13,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
11,Global Account System context cluster user workflow,APOW-40685,14,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
12,Global Account System context cohort workflow,APOW-19794,15,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
13,Global Account System context cohort user workflow,APOW-87306,16,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
14,Global Account System context country workflow,APOW-45714,17,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
15,Global Account System context country user workflow,APOW-18966,18,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
16,Global Account System context definition workflow,APOW-29669,19,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
17,Global Account System context global workflow,APOW-27229,20,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
18,Global Account System context global user workflow,APOW-34029,21,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
19,Global Account System context region workflow,APOW-81549,22,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
20,Global Account System context region user workflow,APOW-19166,23,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
21,Global Account System contra account workflow,APOW-12675,24,1,1,1,2020-08-20,1,2020-08-20 12:01:49,,
22,Global Account System country currency workflow,APOW-78423,25,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
23,Global Account System currency conversion workflow,APOW-29866,26,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
24,Global Account System currency conversion detail workflow,APOW-19053,27,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
25,Global Account System dashboard workflow,APOW-74268,28,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
26,Global Account System department workflow,APOW-38673,29,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
27,Global Account System department user workflow,APOW-44779,30,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
28,Global Account System designation workflow,APOW-27778,31,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
29,Global Account System expense account workflow,APOW-84017,32,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
30,Global Account System financial report workflow,APOW-62712,33,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
31,Global Account System funder workflow,APOW-82846,34,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
32,Global Account System funding status workflow,APOW-86373,35,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
33,Global Account System history workflow,APOW-6390,36,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
34,Global Account System income account workflow,APOW-57987,37,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
35,Global Account System journal workflow,APOW-79757,38,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
36,Global Account System language workflow,APOW-25991,39,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
37,Global Account System language phrase workflow,APOW-5556,40,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
38,Global Account System menu workflow,APOW-28221,41,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
39,Global Account System menu user order workflow,APOW-7050,42,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
40,Global Account System message workflow,APOW-61867,43,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
41,Global Account System message detail workflow,APOW-35316,44,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
42,Global Account System month workflow,APOW-61051,45,1,1,1,2020-08-20,1,2020-08-20 12:01:50,,
