attachment_type_id,attachment_type_name,attachment_type_track_number,fk_approve_item_id,fk_account_system_id,attachment_type_created_date,attachment_type_created_by,attachment_type_last_modified_by,attachment_type_last_modified_date,fk_approval_id,fk_status_id
3,Bank Statement,ATPE-44995,33,4,2021-09-03,23,23,2021-09-03 16:45:59,76959,1141
4,Receipt_and_Support_docs,ATPE-44996,113,4,2022-06-19,1,1,2022-06-19 16:45:59,76959,1141
5,Voucher,ATPE-44997,80,4,2022-06-22,1,1,2022-06-22 16:45:59,76959,1141
6,Budget,ATPE-44998,6,4,2022-06-22,1,1,2022-06-22 16:45:59,76959,1141
7,Journal,ATPE-44999,38,4,2022-06-22,1,1,2022-06-22 16:45:59,76959,1141
8,Cheque_book,ATPE-45000,9,4,2022-06-22,1,1,2022-06-22 16:45:59,76959,1141
9,Financial_report,ATPE-45001,33,4,2022-06-22,1,1,2022-06-22 16:45:59,76959,1141
10,Request,ATPE-45002,67,4,2022-06-22,1,1,2022-06-22 16:45:59,76959,1141
11,Receipt_and_Support_docs,ATPE-44996131,131,4,2022-06-19,1,1,2022-06-19 16:45:59,76959,1141
14,System Opening Bank Statement,ATPE-83327,76,1,2024-05-14,1,1,2024-05-14 14:01:25,25258825,1325
15,voucher_receipts,ATPE-85860,80,1,2024-12-03,1,1,2024-12-03 09:32:04,39031365,1325
