bank_id,bank_track_number,bank_name,bank_swift_code,bank_is_active,fk_account_system_id,bank_created_date,bank_created_by,bank_last_modified_date,bank_last_modified_by,fk_approval_id,fk_status_id
1,BANK-39282,KCB,KCB566F,1,2,2020-08-21,1,2020-08-21 07:50:45,1,299,3
2,BANK-25772,CRDB PLC,CRDBPLC,1,4,2020-08-25,4,2020-08-25 08:43:57,4,372,3
5,BANK-49228,Cooperative Bank,KCOOKENA XXX,1,3,2020-08-27,1,2020-08-27 00:07:49,1,376,3
6,BANK-34092,EXIM BANK,EXIM,1,4,2020-12-10,11,2020-12-10 10:55:36,11,857,300
7,BANK-62706,STANDARD CHARTERED BANK,STANDARD,1,4,2020-12-10,11,2020-12-10 10:56:46,11,858,300
8,BANK-48142,NMB BANK PLC,NMB,1,4,2021-01-09,31,2021-01-09 11:14:44,31,7425,300
9,BANK-29607,NBC BANK,NBC,1,4,2021-01-09,31,2021-01-09 11:15:43,31,7426,300
10,BANK-80474,Centenary Rural Development  Bank,CRDBUG,1,5,2021-03-09,66,2021-03-09 15:26:20,66,21278,907
11,BANK-75884,ABSA,ABSAUG,1,5,2021-03-09,66,2021-03-09 15:26:52,66,21279,907
12,BANK-86085,Stanbic Bank,STANBICUG,1,5,2021-03-09,66,2021-03-09 15:27:26,66,21280,907
14,BANK-18871,Equity Bank,EB,1,4,2021-07-29,31,2021-07-29 08:51:57,31,65516,300
15,BANK-23150,KCB,KCB,1,4,2021-08-24,1,2021-08-24 11:45:23,1,76639,297
17,BANK-20667,UCHUMI COMMERCIAL BANK,UCHUMI COMMERCIAL BANK,1,4,2021-10-02,28,2021-10-02 07:39:38,28,195761,300
18,BANK-13216,ECOBANK,ECOBANK,1,4,2021-10-05,30,2021-10-05 05:19:07,30,198376,300
19,BANK-33412,Umoja Community Bank,UCB,1,4,2021-10-06,30,2021-10-06 07:00:04,30,203791,300
20,BANK-31204,Equity Bank (U) Limited,Equity Bank (U) Limited,1,5,2021-10-09,69,2021-10-09 12:44:42,69,212835,907
21,BANK-22590,DFCU BANK LIMITED,DFCUUGKA,1,5,2021-10-11,67,2021-10-11 12:52:17,67,219160,907
22,BANK-39317,I & M Bank,Investment and Mortgage Bank,1,4,2021-10-13,30,2021-10-13 06:15:38,30,223274,300
23,BANK-62543,Post Bank,SM1000,1,5,2022-02-23,1445,2022-02-23 08:20:21,1445,2285417,907
24,BANK-88060,Finance Trust Bank,FT 000,1,5,2022-02-23,1445,2022-02-23 20:35:54,1445,2295495,907
25,BANK-77492,Stanbic Bank,NONE,1,4,2022-03-29,30,2022-03-29 06:52:21,30,2662413,300
26,BANK-37300,Equity Bank Kenya,EQKE,1,3,2022-03-30,39,2022-03-30 15:26:22,39,2745062,299
27,BANK-39978,National Bank of Malawi,MWNBM,1,6,2022-05-12,1598,2022-05-12 07:04:19,1598,3465359,2195
28,BANK-9517,Standard Bank,MWSB,1,6,2022-05-12,1598,2022-05-12 07:05:39,1598,3465371,2195
