context_cluster_id,context_cluster_track_number,context_cluster_name,context_cluster_description,fk_office_id,fk_context_definition_id,fk_context_cohort_id,context_cluster_created_date,context_cluster_created_by,context_cluster_last_modified_date,context_cluster_last_modified_by,fk_approval_id,fk_status_id
1,COER-82116,Context for office Mombasa-Kilifi,Context for office Mombasa-Kilifi,7,2,20,2020-08-21,1,2022-10-27 01:57:41,39,316,10
2,COER-32354,Context for office TZ Cluster 1,Context for office TZ Cluster 1,8,2,2,2020-08-21,1,"0000-00-00 00:00:00",1,319,10
3,COER-67448,Context for office Marsabit,Context for office Marsabit,13,2,4,2020-11-03,1,2022-10-27 02:38:36,39,499,10
4,COER-45458,Context for office Arusha Eastern,Context for office Arusha Eastern,17,2,5,2020-12-09,1,"0000-00-00 00:00:00",1,687,"0"
5,COER-71258,Context for office Arusha Western,Context for office Arusha Western,18,2,5,2020-12-09,1,"0000-00-00 00:00:00",1,690,"0"
6,COER-52335,Context for office UG-NEBBI-ARUA Cluster,Context for office UG-NEBBI-ARUA Cluster,36,2,8,2021-02-25,1,2023-07-12 08:30:53,79,20151,615
7,COER-5836,Context for office UG-Kamuli - Buyende Cluster,Context for office UG-Kamuli - Buyende Cluster,37,2,9,2021-02-25,1,2023-07-04 12:56:37,79,20154,615
8,COER-37339,Context for office UG-RAKAI Cluster,Context for office UG-RAKAI Cluster,38,2,10,2021-02-25,1,"0000-00-00 00:00:00",1,20157,615
9,COER-81887,Context for office UG-RUKUNGIRI  Cluster,Context for office UG-RUKUNGIRI  Cluster,39,2,11,2021-02-25,1,"0000-00-00 00:00:00",1,20160,615
10,COER-73267,Context for office UG-Kapchorwa-Kween Cluster,Context for office UG-Kapchorwa-Kween Cluster,40,2,12,2021-02-25,1,2023-07-12 08:46:11,79,20163,615
11,COER-21950,Context for office UG-WAKISO Cluster,Context for office UG-WAKISO Cluster,41,2,9,2021-02-25,1,2024-08-12 07:43:17,1445,20166,615
12,COER-65628,Context for office UG-KABARORE Cluster,Context for office UG-KABARORE Cluster,42,2,10,2021-02-25,1,"0000-00-00 00:00:00",1,20169,615
13,COER-80378,"Context for office UG-Amuria-Katakwi -Kabaramaido Cluster	",Context for office UG-Amuria-Katakwi Cluster,43,2,8,2021-02-25,1,2024-08-28 02:53:55,1445,20172,615
14,COER-85691,Context for office UG-BUKWO Cluster,Context for office UG-BUKWO Cluster,44,2,12,2021-02-25,1,"0000-00-00 00:00:00",1,20175,615
15,COER-63580,Context for office UG - Kabale-Ntungamo Cluster,Context for office UG - Kabale-Ntungamo Cluster,55,2,11,2021-02-26,1,2023-07-12 10:11:55,79,20324,615
26,COER-21995,Context for office Arusha Central,Context for office Arusha Central,63,2,5,2021-07-29,31,2021-07-29 08:26:20,31,65491,627
28,COER-82869,Context for office Gongali Cluster,Context for office Gongali Cluster,70,2,6,2021-08-24,1,2021-08-24 10:56:26,1,76520,615
29,COER-9058,"Context for office Monduli Cluster
","Context for office Monduli Cluster
",71,2,6,2021-08-24,1,2021-08-24 10:57:27,1,76523,615
30,COER-1573,Context for office Karatu Cluster,Context for office Karatu Cluster,72,2,6,2021-08-24,1,2021-08-24 10:58:55,1,76526,615
31,COER-79849,Context for office Kititimo Cluster,Context for office Kititimo Cluster,73,2,6,2021-08-24,1,2021-08-24 11:00:05,1,76529,615
32,COER-7614,Context for office Katesh Cluster,Context for office Katesh Cluster,74,2,6,2021-08-24,1,2021-08-24 11:01:59,1,76532,615
33,COER-71752,Context for office Mbulu Cluster,Context for office Mbulu Cluster,75,2,6,2021-08-24,1,2021-08-24 11:02:44,1,76535,615
34,COER-61387,Context for office Itigi Cluster ,Context for office Itigi Cluster ,82,2,2,2021-08-24,1,2021-08-24 11:11:41,1,76567,615
35,COER-27122,Context for office Kondoa Cluster,Context for office Kondoa Cluster,83,2,2,2021-08-24,1,2024-06-04 08:23:18,424,76570,615
36,COER-79893,Context for office Iringa Mjini Cluster,Context for office Iringa Mjini Cluster,84,2,2,2021-08-24,1,2021-08-24 11:13:53,1,76573,615
37,COER-40260,Context for office Dodoma Western Cluster,Context for office Dodoma Western Cluster,85,2,2,2021-08-24,1,2024-06-10 05:02:40,424,76576,615
38,COER-50931,Context for office Mpwapwa Cluster,Context for office Mpwapwa Cluster,86,2,2,2021-08-24,1,2021-08-24 11:15:45,1,76579,615
39,COER-83715,Context for office Mkalama Cluster,Context for office Mkalama Cluster,87,2,2,2021-08-24,1,2021-08-24 11:16:35,1,76590,615
40,COER-73024,Context for office Chato Cluster,Context for office Chato Cluster,94,2,15,2021-08-25,1,2021-08-25 04:34:41,1,76732,615
41,COER-27057,Context for office Missenyi Cluster,Context for office Missenyi Cluster,95,2,15,2021-08-25,1,2021-08-25 04:38:01,1,76737,615
42,COER-75715,Context for office Misungwi Cluster,Context for office Misungwi Cluster,96,2,15,2021-08-25,1,2021-08-25 04:39:29,1,76740,615
43,COER-86529,Context for office Biharamulo Cluster,Context for office Biharamulo Cluster,97,2,15,2021-08-25,1,2021-08-25 04:41:55,1,76743,615
44,COER-28839,Context for office Mwanza Southern Cluster,Context for office Mwanza Cluster,98,2,15,2021-08-25,1,2024-10-03 09:45:08,31,76746,615
45,COER-9896,Context for office Musoma Cluster,Context for office Musoma Cluster,99,2,15,2021-08-25,1,2021-08-25 04:46:02,1,76749,615
46,COER-41877,Context for office Nzega Cluster,Context for office Nzega Cluster,106,2,16,2021-08-25,1,2021-08-25 04:56:28,1,76770,615
47,COER-63431,Context for office Kigoma Ujiji Cluster,Context for office Kigoma Ujiji Cluster,107,2,16,2021-08-25,1,2021-08-25 04:57:31,1,76773,615
