contra_account_id,contra_account_track_number,contra_account_name,contra_account_code,contra_account_description,fk_voucher_type_account_id,fk_voucher_type_effect_id,fk_office_bank_id,fk_account_system_id,contra_account_created_date,contra_account_created_by,contra_account_last_modified_by,contra_account_last_modified_date,fk_approval_id,fk_status_id
1,CONT-56526,Bank to PC,bbpc,Bank to PC,1,"0",1,4,2020-09-01,4,4,,445,21
2,CONT-68040,Cash to Bank Contra,CBC,Cash to Bank Contra,2,"0",1,4,2020-09-01,4,4,,446,21
3,CONT-44343,Citam Missions Goro-Rukesa Church Bank to Cash,B2C,Citam Missions Goro-Rukesa Church Bank to Cash,1,"0",2,3,2020-11-04,8,8,,591,21
4,CONT-9917,Citam Missions Goro-Rukesa Church Cash to Bash,C2B,Citam Missions Goro-Rukesa Church Cash to Bash,2,"0",2,3,2020-11-04,8,8,,592,21
5,CONT-6047,TZ0100 - TAG Bethel Student Center Bank to Cash,B2C,TZ0100 - TAG Bethel Student Center Bank to Cash,1,3,3,4,2020-12-10,11,11,,860,"0"
6,CONT-23816,TZ0100 - TAG Bethel Student Center Cash to Bank,C2B,TZ0100 - TAG Bethel Student Center Cash to Bank,2,4,3,4,2020-12-10,11,11,,861,"0"
7,CONT-60024,TZ0200 - ELCT Engarenarok Bank to Cash,B2C,TZ0200 - ELCT Engarenarok Bank to Cash,1,3,4,4,2020-12-10,11,11,,865,"0"
8,CONT-11651,TZ0200 - ELCT Engarenarok Cash to Bank,C2B,TZ0200 - ELCT Engarenarok Cash to Bank,2,4,4,4,2020-12-10,11,11,,866,"0"
9,CONT-4057,TZ0201 - Kijenge Lutheran Church Bank to Cash,B2C,TZ0201 - Kijenge Lutheran Church Bank to Cash,1,3,5,4,2020-12-10,11,11,,870,"0"
10,CONT-70994,TZ0201 - Kijenge Lutheran Church Cash to Bank,C2B,TZ0201 - Kijenge Lutheran Church Cash to Bank,2,4,5,4,2020-12-10,11,11,,871,"0"
11,CONT-24520,TZ0450 - PEFA Olmatejo Church Bank to Cash,B2C,TZ0450 - PEFA Olmatejo Church Bank to Cash,1,3,6,4,2020-12-10,11,11,,875,"0"
12,CONT-80103,TZ0450 - PEFA Olmatejo Church Cash to Bank,C2B,TZ0450 - PEFA Olmatejo Church Cash to Bank,2,4,6,4,2020-12-10,11,11,,876,"0"
13,CONT-43854,TZ0500 - Ngarenaro Baptist Church Bank to Cash,B2C,TZ0500 - Ngarenaro Baptist Church Bank to Cash,1,3,7,4,2020-12-10,11,11,,880,"0"
14,CONT-14710,TZ0500 - Ngarenaro Baptist Church Cash to Bank,C2B,TZ0500 - Ngarenaro Baptist Church Cash to Bank,2,4,7,4,2020-12-10,11,11,,881,"0"
15,CONT-34357,TZ0551 - Moravian Church Arusha Bank to Cash,B2C,TZ0551 - Moravian Church Arusha Bank to Cash,1,3,8,4,2020-12-10,11,11,,885,"0"
16,CONT-58793,TZ0551 - Moravian Church Arusha Cash to Bank,C2B,TZ0551 - Moravian Church Arusha Cash to Bank,2,4,8,4,2020-12-10,11,11,,886,"0"
17,CONT-55963,TZ0600 - Pentecost Assemblies of God Church Bank to Cash,B2C,TZ0600 - Pentecost Assemblies of God Church Bank to Cash,1,3,9,4,2020-12-10,11,11,,890,"0"
18,CONT-23651,TZ0600 - Pentecost Assemblies of God Church Cash to Bank,C2B,TZ0600 - Pentecost Assemblies of God Church Cash to Bank,2,4,9,4,2020-12-10,11,11,,891,"0"
19,CONT-10511,TZ0102 - TAG Azimio Student Center Bank to Cash,B2C,TZ0102 - TAG Azimio Student Center Bank to Cash,1,3,10,4,2020-12-10,11,11,,895,"0"
20,CONT-22776,TZ0102 - TAG Azimio Student Center Cash to Bank,C2B,TZ0102 - TAG Azimio Student Center Cash to Bank,2,4,10,4,2020-12-10,11,11,,896,"0"
21,CONT-41608,TZ0206 - Kimandolu Lutheran Bank to Cash,B2C,TZ0206 - Kimandolu Lutheran Bank to Cash,1,3,11,4,2020-12-10,11,11,,900,"0"
22,CONT-53739,TZ0206 - Kimandolu Lutheran Cash to Bank,C2B,TZ0206 - Kimandolu Lutheran Cash to Bank,2,4,11,4,2020-12-10,11,11,,901,"0"
23,CONT-35937,TZ0303 - Anglican St. Andrews Bank to Cash,B2C,TZ0303 - Anglican St. Andrews Bank to Cash,1,3,12,4,2020-12-10,11,11,,905,"0"
24,CONT-34810,TZ0303 - Anglican St. Andrews Cash to Bank,C2B,TZ0303 - Anglican St. Andrews Cash to Bank,2,4,12,4,2020-12-10,11,11,,906,"0"
25,CONT-65139,TZ0303 - Anglican St. Andrews Bank to Bank,B2B,TZ0303 - Anglican St. Andrews Bank to Bank,1,5,12,4,2020-12-22,6,6,,5477,"0"
26,CONT-56774,TZ0303 - Anglican St. Andrews Cash to Cash,C2C,TZ0303 - Anglican St. Andrews Cash to Cash,2,6,12,4,2020-12-22,6,6,,5478,"0"
27,CONT-74102,TZ0551 - Moravian Church Arusha Bank to Bank,B2B,TZ0551 - Moravian Church Arusha Bank to Bank,1,5,8,4,2020-12-22,10,10,,5570,"0"
28,CONT-72871,TZ0551 - Moravian Church Arusha Cash to Cash,C2C,TZ0551 - Moravian Church Arusha Cash to Cash,2,6,8,4,2020-12-22,10,10,,5571,"0"
29,CONT-23744,TZ0200 - ELCT Engarenarok Bank to Bank,B2B,TZ0200 - ELCT Engarenarok Bank to Bank,1,5,4,4,2020-12-22,35,35,,5651,"0"
30,CONT-87207,TZ0200 - ELCT Engarenarok Cash to Cash,C2C,TZ0200 - ELCT Engarenarok Cash to Cash,2,6,4,4,2020-12-22,35,35,,5652,"0"
31,CONT-40970,TZ0201 - Kijenge Lutheran Church Bank to Bank,B2B,TZ0201 - Kijenge Lutheran Church Bank to Bank,1,5,5,4,2020-12-22,21,21,,5738,"0"
32,CONT-79997,TZ0201 - Kijenge Lutheran Church Cash to Cash,C2C,TZ0201 - Kijenge Lutheran Church Cash to Cash,2,6,5,4,2020-12-22,21,21,,5739,"0"
33,CONT-42124,TZ0100 - TAG Bethel Student Center Bank to Bank,B2B,TZ0100 - TAG Bethel Student Center Bank to Bank,1,5,3,4,2020-12-22,20,20,,5769,"0"
34,CONT-73770,TZ0100 - TAG Bethel Student Center Cash to Cash,C2C,TZ0100 - TAG Bethel Student Center Cash to Cash,2,6,3,4,2020-12-22,20,20,,5770,"0"
35,CONT-74479,TZ0450 - PEFA Olmatejo Church Bank to Bank,B2B,TZ0450 - PEFA Olmatejo Church Bank to Bank,1,5,6,4,2020-12-22,31,31,,5949,"0"
36,CONT-24431,TZ0450 - PEFA Olmatejo Church Cash to Cash,C2C,TZ0450 - PEFA Olmatejo Church Cash to Cash,2,6,6,4,2020-12-22,31,31,,5950,"0"
37,CONT-24721,TZ0206 - Kimandolu Lutheran Bank to Bank,B2B,TZ0206 - Kimandolu Lutheran Bank to Bank,1,5,11,4,2020-12-22,9,9,,6074,"0"
38,CONT-59686,TZ0206 - Kimandolu Lutheran Cash to Cash,C2C,TZ0206 - Kimandolu Lutheran Cash to Cash,2,6,11,4,2020-12-22,9,9,,6075,"0"
39,CONT-60013,TZ0500 - Ngarenaro Baptist Church Bank to Bank,B2B,TZ0500 - Ngarenaro Baptist Church Bank to Bank,1,5,7,4,2020-12-22,34,34,,6195,"0"
40,CONT-58436,TZ0500 - Ngarenaro Baptist Church Cash to Cash,C2C,TZ0500 - Ngarenaro Baptist Church Cash to Cash,2,6,7,4,2020-12-22,34,34,,6196,"0"
41,CONT-24268,TZ0102 - TAG Azimio Student Center Bank to Bank,B2B,TZ0102 - TAG Azimio Student Center Bank to Bank,1,5,10,4,2020-12-22,33,33,,6354,"0"
42,CONT-69417,TZ0102 - TAG Azimio Student Center Cash to Cash,C2C,TZ0102 - TAG Azimio Student Center Cash to Cash,2,6,10,4,2020-12-22,33,33,,6355,"0"
43,CONT-76947,TZ0600 - Pentecost Assemblies of God Church Bank to Bank,B2B,TZ0600 - Pentecost Assemblies of God Church Bank to Bank,1,5,9,4,2020-12-28,14,14,,6702,"0"
44,CONT-58163,TZ0600 - Pentecost Assemblies of God Church Cash to Cash,C2C,TZ0600 - Pentecost Assemblies of God Church Cash to Cash,2,6,9,4,2020-12-28,14,14,,6703,"0"
45,CONT-89620,TZ0201 - Kijenge Lutheran Church Bank to Cash,B2C,TZ0201 - Kijenge Lutheran Church Bank to Cash,1,3,13,4,2021-01-11,30,30,,7457,"0"
46,CONT-49308,TZ0201 - Kijenge Lutheran Church Cash to Bank,C2B,TZ0201 - Kijenge Lutheran Church Cash to Bank,2,4,13,4,2021-01-11,30,30,,7458,"0"
47,CONT-62904,TZ0201 - Kijenge Lutheran Church Bank to Bank,B2B,TZ0201 - Kijenge Lutheran Church Bank to Bank,1,5,13,4,2021-01-11,30,30,,7459,"0"
48,CONT-58326,TZ0201 - Kijenge Lutheran Church Cash to Cash,C2C,TZ0201 - Kijenge Lutheran Church Cash to Cash,2,6,13,4,2021-01-11,30,30,,7460,"0"
49,CONT-57904,CITAM HQ Bank to Cash,B2C,CITAM HQ Bank to Cash,1,3,14,3,2021-02-03,40,40,,9636,"0"
50,CONT-10630,CITAM HQ Cash to Bank,C2B,CITAM HQ Cash to Bank,2,4,14,3,2021-02-03,40,40,,9637,"0"
51,CONT-32717,CITAM HQ Bank to Bank,B2B,CITAM HQ Bank to Bank,1,5,14,3,2021-02-03,40,40,,9638,"0"
52,CONT-66780,CITAM HQ Cash to Cash,C2C,CITAM HQ Cash to Cash,2,6,14,3,2021-02-03,40,40,,9639,"0"
53,CONT-42401,Citam Missions Goro-Rukesa Church Bank to Cash,B2C,Citam Missions Goro-Rukesa Church Bank to Cash,1,3,2,3,2021-02-05,41,41,,11467,"0"
54,CONT-34948,Citam Missions Goro-Rukesa Church Cash to Bank,C2B,Citam Missions Goro-Rukesa Church Cash to Bank,2,4,2,3,2021-02-05,41,41,,11468,"0"
55,CONT-33866,Citam Missions Goro-Rukesa Church Bank to Bank,B2B,Citam Missions Goro-Rukesa Church Bank to Bank,1,5,2,3,2021-02-05,41,41,,11469,"0"
56,CONT-80074,Citam Missions Goro-Rukesa Church Cash to Cash,C2C,Citam Missions Goro-Rukesa Church Cash to Cash,2,6,2,3,2021-02-05,41,41,,11470,"0"
57,CONT-40270,UG0213 - St . Peters Nyakishoroza Church Bank to Cash,B2C,UG0213 - St . Peters Nyakishoroza Church Bank to Cash,1,3,15,5,2021-03-09,66,66,,21282,"0"
58,CONT-67705,UG0213 - St . Peters Nyakishoroza Church Cash to Bank,C2B,UG0213 - St . Peters Nyakishoroza Church Cash to Bank,2,4,15,5,2021-03-09,66,66,,21283,"0"
59,CONT-24071,UG0213 - St . Peters Nyakishoroza Church Bank to Bank,B2B,UG0213 - St . Peters Nyakishoroza Church Bank to Bank,1,5,15,5,2021-03-09,66,66,,21284,"0"
60,CONT-68460,UG0213 - St . Peters Nyakishoroza Church Cash to Cash,C2C,UG0213 - St . Peters Nyakishoroza Church Cash to Cash,2,6,15,5,2021-03-09,66,66,,21285,"0"
61,CONT-57304,UG0506 - Deliverance Church Nsambya Bank to Cash,B2C,UG0506 - Deliverance Church Nsambya Bank to Cash,1,3,16,5,2021-03-09,66,66,,21288,"0"
62,CONT-55084,UG0506 - Deliverance Church Nsambya Cash to Bank,C2B,UG0506 - Deliverance Church Nsambya Cash to Bank,2,4,16,5,2021-03-09,66,66,,21289,"0"
63,CONT-50719,UG0506 - Deliverance Church Nsambya Bank to Bank,B2B,UG0506 - Deliverance Church Nsambya Bank to Bank,1,5,16,5,2021-03-09,66,66,,21290,"0"
64,CONT-45890,UG0506 - Deliverance Church Nsambya Cash to Cash,C2C,UG0506 - Deliverance Church Nsambya Cash to Cash,2,6,16,5,2021-03-09,66,66,,21291,"0"
65,CONT-58933,UG0560 - Kabarole Christian Fellowship Bank to Cash,B2C,UG0560 - Kabarole Christian Fellowship Bank to Cash,1,3,17,5,2021-03-09,66,66,,21294,"0"
66,CONT-57582,UG0560 - Kabarole Christian Fellowship Cash to Bank,C2B,UG0560 - Kabarole Christian Fellowship Cash to Bank,2,4,17,5,2021-03-09,66,66,,21295,"0"
67,CONT-46871,UG0560 - Kabarole Christian Fellowship Bank to Bank,B2B,UG0560 - Kabarole Christian Fellowship Bank to Bank,1,5,17,5,2021-03-09,66,66,,21296,"0"
68,CONT-34567,UG0560 - Kabarole Christian Fellowship Cash to Cash,C2C,UG0560 - Kabarole Christian Fellowship Cash to Cash,2,6,17,5,2021-03-09,66,66,,21297,"0"
69,CONT-74524,"UG0648 - Eleventh Hour Church, Olelai Bank to Cash",B2C,"UG0648 - Eleventh Hour Church, Olelai Bank to Cash",1,3,18,5,2021-03-09,66,66,,21300,"0"
70,CONT-58497,"UG0648 - Eleventh Hour Church, Olelai Cash to Bank",C2B,"UG0648 - Eleventh Hour Church, Olelai Cash to Bank",2,4,18,5,2021-03-09,66,66,,21301,"0"
71,CONT-31052,"UG0648 - Eleventh Hour Church, Olelai Bank to Bank",B2B,"UG0648 - Eleventh Hour Church, Olelai Bank to Bank",1,5,18,5,2021-03-09,66,66,,21302,"0"
72,CONT-47050,"UG0648 - Eleventh Hour Church, Olelai Cash to Cash",C2C,"UG0648 - Eleventh Hour Church, Olelai Cash to Cash",2,6,18,5,2021-03-09,66,66,,21303,"0"
73,CONT-47852,UG0715 - St Paul's Kantare Church of Uganda Bank to Cash,B2C,UG0715 - St Paul's Kantare Church of Uganda Bank to Cash,1,3,19,5,2021-03-09,66,66,,21306,"0"
74,CONT-2059,UG0715 - St Paul's Kantare Church of Uganda Cash to Bank,C2B,UG0715 - St Paul's Kantare Church of Uganda Cash to Bank,2,4,19,5,2021-03-09,66,66,,21307,"0"
75,CONT-3562,UG0715 - St Paul's Kantare Church of Uganda Bank to Bank,B2B,UG0715 - St Paul's Kantare Church of Uganda Bank to Bank,1,5,19,5,2021-03-09,66,66,,21308,"0"
76,CONT-43658,UG0715 - St Paul's Kantare Church of Uganda Cash to Cash,C2C,UG0715 - St Paul's Kantare Church of Uganda Cash to Cash,2,6,19,5,2021-03-09,66,66,,21309,"0"
77,CONT-31263,UG0825 - Bugimotwa Church of Uganda Bank to Cash,B2C,UG0825 - Bugimotwa Church of Uganda Bank to Cash,1,3,20,5,2021-03-09,66,66,,21312,"0"
78,CONT-22665,UG0825 - Bugimotwa Church of Uganda Cash to Bank,C2B,UG0825 - Bugimotwa Church of Uganda Cash to Bank,2,4,20,5,2021-03-09,66,66,,21313,"0"
79,CONT-16786,UG0825 - Bugimotwa Church of Uganda Bank to Bank,B2B,UG0825 - Bugimotwa Church of Uganda Bank to Bank,1,5,20,5,2021-03-09,66,66,,21314,"0"
80,CONT-26215,UG0825 - Bugimotwa Church of Uganda Cash to Cash,C2C,UG0825 - Bugimotwa Church of Uganda Cash to Cash,2,6,20,5,2021-03-09,66,66,,21315,"0"
81,CONT-16398,UG0840 - St Mathew Kapyoyon COU Bank to Cash,B2C,UG0840 - St Mathew Kapyoyon COU Bank to Cash,1,3,21,5,2021-03-09,66,66,,21318,"0"
82,CONT-39647,UG0840 - St Mathew Kapyoyon COU Cash to Bank,C2B,UG0840 - St Mathew Kapyoyon COU Cash to Bank,2,4,21,5,2021-03-09,66,66,,21319,"0"
83,CONT-47120,UG0840 - St Mathew Kapyoyon COU Bank to Bank,B2B,UG0840 - St Mathew Kapyoyon COU Bank to Bank,1,5,21,5,2021-03-09,66,66,,21320,"0"
84,CONT-14538,UG0840 - St Mathew Kapyoyon COU Cash to Cash,C2C,UG0840 - St Mathew Kapyoyon COU Cash to Cash,2,6,21,5,2021-03-09,66,66,,21321,"0"
85,CONT-62802,"UG0901 - St. Paul's Amor, Church of Uganda  Bank to Cash",B2C,"UG0901 - St. Paul's Amor, Church of Uganda  Bank to Cash",1,3,22,5,2021-03-09,66,66,,21324,"0"
86,CONT-43939,"UG0901 - St. Paul's Amor, Church of Uganda  Cash to Bank",C2B,"UG0901 - St. Paul's Amor, Church of Uganda  Cash to Bank",2,4,22,5,2021-03-09,66,66,,21325,"0"
87,CONT-42456,"UG0901 - St. Paul's Amor, Church of Uganda  Bank to Bank",B2B,"UG0901 - St. Paul's Amor, Church of Uganda  Bank to Bank",1,5,22,5,2021-03-09,66,66,,21326,"0"
