income_account_id,income_account_track_number,income_account_name,income_account_description,income_account_code,income_account_reconciliation_is_required,income_account_is_active,fk_income_vote_heads_category_id,income_account_is_budgeted,income_account_is_donor_funded,fk_account_system_id,income_account_created_date,income_account_last_modified_date,income_account_created_by,income_account_last_modified_by,fk_approval_id,fk_status_id
1,INNT-59040,R100 - Child Support ,Child Support ,R100,,1,1,1,"0",3,2020-08-21,,3,3,348,34
2,INNT-9723,R200 - Gifts,Gifts,R200,,1,1,"0","0",3,2020-08-21,,3,3,350,34
3,INNT-71290,R010 - Child Support Funds,Support Fund Income,R010,,1,1,1,"0",4,2020-09-01,,4,4,447,34
4,INNT-63752,R330 - HVC,Highly Vulnerable Children,R330,,1,1,"0","0",3,2020-11-03,,5,5,544,34
5,INNT-17165,R351 - Survival Intervention,Survival Intervention,R351,,1,1,1,"0",3,2020-11-03,,5,5,545,34
6,INNT-50930,R410 - HIV/AIDS ARV Support,HIV/AIDS ARV Support,R410,,1,1,1,"0",3,2020-11-03,,5,5,546,34
7,INNT-16228,R415 - HIV/AIDS Caregivers and siblings (CGS),HIV/AIDS Caregivers and siblings (CGS),R415,,1,1,1,"0",3,2020-11-03,,5,5,547,34
8,INNT-23810,R425 - HIV/AIDS Education,HIV/AIDS Education,R425,,1,1,1,"0",3,2020-11-03,,5,5,548,34
9,INNT-53296,R510 - Parents Contribution,Parents Contribution,R510,,1,1,1,"0",3,2020-11-03,,5,5,549,34
10,INNT-53658,R515 - CDC IGA,CDC IGA,R515,,1,1,1,"0",3,2020-11-03,,5,5,550,34
11,INNT-64435,R520 - Local Donations and Church contributions,Local Donations and Church contributions,R520,,1,1,1,"0",3,2020-11-03,,5,5,551,34
12,INNT-46382,R320 - Medical Refund and Grant,Medical Refund and Grant,R320,,1,1,"0","0",3,2020-11-03,,5,5,552,34
13,INNT-58524,R352 - Survival Launch Fund,Survival Launch Fund,R352,,1,1,1,"0",3,2020-11-03,,5,5,553,34
14,INNT-23810,R370 - Sponsorship Launch Fund,Sponsorship Launch Fund,R370,,1,1,1,"0",3,2020-11-03,,5,5,554,34
15,INNT-41633,R360 - Inter Partner Funds Transfer,Inter Partner Funds Transfer,R360,,1,1,"0","0",3,2020-11-03,,5,5,555,34
16,INNT-66329,R020 - Survival Support,R020 - Survival Support,R020,,1,1,1,"0",4,2020-12-09,,11,11,728,284
18,INNT-23586,R031 - Beneficiary Gifts,R031 - Beneficiary Gifts,R031,,1,1,"0","0",4,2020-12-09,,11,11,730,284
19,INNT-72943,R102 - Disaster - Reimbursable (DAP),R102 - Disaster-Reimbursable (DAP),R102,,1,1,"0","0",4,2020-12-09,,11,11,731,284
20,INNT-81394,R103 - Education-Ongoing (EDU),R103 - Education-Ongoing (EDU),R103,,1,1,"0","0",4,2020-12-09,,11,11,732,284
21,INNT-88388,R101 - HIV Ongoing Support Fund,R101 - HIV Ongoing Support Fund,R101,,1,1,1,"0",4,2020-12-09,,11,11,733,284
22,INNT-27408,R070 - Highly Vulnerable Children (HVC),R070 - Highly Vulnerable Children (HVC),R070,,"0",1,1,1,4,2020-12-09,,11,11,734,284
23,INNT-7833,R080 - Medical (HH),R080 - Medical (HH),R080,,"0",1,1,1,4,2020-12-09,,11,11,735,284
24,INNT-25031,R099- Non- Compassion Funds,R099 - Non- Compassion Funds,R099,,"0",1,"0","0",4,2020-12-09,,11,11,736,284
25,INNT-78091,R033 - Project Gifts,R033 - Project Gifts,R033,,1,1,"0","0",4,2020-12-10,,11,11,740,284
26,INNT-46263,R104 - Highly Vulnerable Children- Child Protection (HVC-CPR),R104 - Highly Vulnerable Children- Child Protection (HVC-CPR),R104,,1,1,"0","0",4,2020-12-10,,11,11,741,284
27,INNT-22844,R105 - Highly Vulnerable Children-Ongoing Support (HVC-CDI),R105 - Highly Vulnerable Children-Ongoing Support (HVC-CDI),R105,,1,1,1,"0",4,2020-12-10,,11,11,742,284
28,INNT-75501,R106 - Medical Reimbursable,R106 - Medical Reimbursable,R106,,1,1,1,"0",4,2020-12-10,,11,11,743,284
29,INNT-14540,R107 - Medical-Therapeutic Feeding Intervention (MED-TFI),R107 - Medical-Therapeutic Feeding Intervention (MED-TFI),R107,,1,1,"0","0",4,2020-12-10,,11,11,744,284
30,INNT-66623,R201 - Income generation / Household Security (IGP),R201 - Income generation / Household Security (IGP),R201,,1,1,"0","0",4,2020-12-10,,11,11,745,284
31,INNT-40418,R202 - Formal Education (EDU),R202 - Formal Education (EDU),R202,,1,1,"0","0",4,2020-12-10,,11,11,746,284
32,INNT-12771,R203 - Health (HH),R203 - Health (HH),R203,,"0",1,"0","0",4,2020-12-10,,11,11,747,284
33,INNT-51370,R204 - HIV Education (HIV-EDU),R204 - HIV Education (HIV-EDU),R204,,1,1,1,"0",4,2020-12-10,,11,11,748,284
34,INNT-19847,R205 - Infrastructure (IFP),R205 - Infrastructure (IFP),R205,,1,1,1,"0",4,2020-12-10,,11,11,749,284
35,INNT-17048,R206 - Learning Materials (LMT),R206 - Learning Materials (LMT),R206,,1,1,"0","0",4,2020-12-10,,11,11,750,284
36,INNT-5790,R207 - Major Medical (MED),R207 - Major Medical (MED),R207,,1,1,"0","0",4,2020-12-10,,11,11,751,284
37,INNT-83501,R208 - Non-formal education (NFE) ,R208 - Non-formal education (NFE) ,R208,,1,1,"0","0",4,2020-12-10,,11,11,752,284
38,INNT-46475,R209 - Parent Education (PED),R209 - Parent Education (PED),R209,,1,1,"0","0",4,2020-12-10,,11,11,753,284
39,INNT-23106,R210 - Vector Borne Diseases (MIV) ,R210 - Vector Borne Diseases (MIV) ,R210,,1,1,"0","0",4,2020-12-10,,11,11,754,284
40,INNT-9665,R211 - WaSH (WTP),R211 - WaSH (WTP),R211,,1,1,"0","0",4,2020-12-10,,11,11,755,284
41,INNT-87110,R212 - Church Planting (CPT),R212 - Church Planting (CPT),R212,,1,1,"0","0",4,2020-12-10,,11,11,756,284
42,INNT-35945,R213 - Disaster Response (DRF),R213 - Disaster Response (DRF),R213,,1,1,1,"0",4,2020-12-10,,11,11,757,284
43,INNT-19096,R91 - Church contribution ,R91 - Church contribution ,R91,,1,1,1,"0",4,2020-12-10,,11,11,758,284
44,INNT-58912,R92 - Caregivers contribution ,R92 - Caregivers contribution ,R92,,1,1,1,"0",4,2020-12-10,,11,11,759,284
45,INNT-82888,R93 - Youth accounts,R93 - Youth accounts,R93,,1,1,1,"0",4,2020-12-10,,11,11,760,284
46,INNT-65005,R94 – Government,R94 – Government,R94,,1,1,1,"0",4,2020-12-10,,11,11,761,284
47,INNT-14571,R95 – NGOs,R95 – NGOs,R95,,1,1,1,"0",4,2020-12-10,,11,11,762,284
48,INNT-88989,R96 - Project generated income (Child support /CIV),R96 - Project generated income (Child support /CIV),R96,,1,1,1,"0",4,2020-12-10,,11,11,763,284
49,INNT-73767,R970 - Others ,R970 - Others ,R970,,1,1,1,"0",4,2020-12-10,,11,11,764,284
50,INNT-53609,R032 -  Beneficiary Christmas  Gift,R032 -  Beneficiary Christmas  Gift,R032,,1,1,"0","0",4,2020-12-10,,11,11,792,284
51,INNT-73706,R310 - School Fees Grant,School fees grant,R310,,1,1,"0","0",3,2021-02-03,,40,40,9643,283
52,INNT-13962,R325 - Water and Sanitation Grants,Water and Sanitation Grants,R325,,1,1,"0","0",3,2021-02-03,,40,40,9649,283
53,INNT-29985,R315  - Environment and Conservation Grants,Environment and Conservation Grants,R315,,1,1,"0","0",3,2021-02-04,,39,39,10800,283
54,INNT-67528,R340 - IGA Grants,IGA Grants,R340,,1,1,"0","0",3,2021-02-04,,39,39,10801,283
55,INNT-65129,R345 - Infrastructure Grants,Infrastructure Grants,R345,,1,1,"0","0",3,2021-02-04,,39,39,10802,283
56,INNT-53382,R350 - Short Term Missions Grants,Short Term Missions Grants,R350,,1,1,"0","0",3,2021-02-04,,39,39,10803,283
57,INNT-18071,R365 - Health (HH),Health (HH),R365,,1,1,"0","0",3,2021-02-04,,39,39,10804,283
