office_bank_id,office_bank_track_number,office_bank_name,office_bank_account_number,fk_office_id,fk_bank_id,office_bank_chequebook_size,office_bank_book_exemption_expiry_date,office_bank_is_active,office_bank_is_default,office_bank_created_date,office_bank_created_by,office_bank_last_modified_date,office_bank_last_modified_by,fk_approval_id,fk_status_id
1,OFNK-7782,Kondoa bank account,20393848,10,2,100,,1,"0",2020-09-01,4,,4,443,44
2,OFNK-17986,Citam Goro Rukesa Bank Account,"01128061763900",14,5,100,,1,1,2020-11-04,8,,8,590,44
3,OFNK-27578,TZ0100 Child and Youth development Center TAG Bethel,14103014212,22,9,100,,1,1,2020-12-10,11,,11,372,304
4,OFNK-6650,TZ0200 - ELCT Engarenarok CRDB PLC Bank Account,"01J1033702200",28,2,100,,1,1,2020-12-10,11,,11,372,304
5,OFNK-65188,TZ0201 - Kijenge Lutheran Church,150301083700,23,2,100,,"0","0",2020-12-10,11,,11,372,304
6,OFNK-6690,TZ0450 - PEFA Olmatejo CYDC,"01J1033868100",25,2,100,,1,1,2020-12-10,11,,11,372,304
7,OFNK-9289,TZ0500 - Ngarenaro Baptist Church CRDB PLC Bank Account,150268428700,26,2,100,,1,1,2020-12-10,11,,11,372,304
8,OFNK-51506,TZ0551 - Moravian Church Arusha CRDB PLC Bank Account,"01J1034217300",24,2,100,,1,1,2020-12-10,11,,11,372,304
9,OFNK-14608,TZ0600 - Pentecost Assemblies Of God Church CRDB PLC Bank Account,"01J1033730800",21,2,100,,1,1,2020-12-10,11,,11,372,304
10,OFNK-41796,TZ0102 - TAG Azimio Student Center EXIM Bank Account,110017610,27,6,100,,"0","0",2020-12-10,11,,11,857,304
11,OFNK-34626,TZ0206 - Kimandolu Lutheran Standard Chartered Bank Account,102014123800,20,7,100,,1,1,2020-12-10,11,,11,858,304
12,OFNK-38990,TZ0303  - Anglican St. Andrews Standard Chartered Bank Account,102014145800,19,7,100,,1,"0",2020-12-10,11,,11,858,304
13,OFNK-12311,TZ0201 -  Kijenge Lutheran Student Centre NMB  Bank Account,40810123482,23,8,100,,1,"0",2021-01-11,30,,30,707,304
14,OFNK-51665,Citam-Compassion International Kenya,"01128061763925",29,5,100,,1,1,2021-02-03,40,,40,376,303
15,OFNK-46475,St. Peters Nyakisoroza CDC Bank Account,3100032466,48,10,100,,1,1,2021-03-09,66,,66,21278,747
16,OFNK-37907,Nsambya Child Development Center Bank Account,"0341106885",50,11,100,,1,1,2021-03-09,66,,66,21278,747
17,OFNK-26935,Kabarole Child Development Center Bank Account,6002785445,52,11,100,,1,1,2021-03-09,66,,66,21278,747
18,OFNK-54860,Olelai CDC  Bank Account,5005793171,53,11,100,,1,1,2021-03-09,66,,66,21278,747
19,OFNK-58521,Kantare CDC Bank Account,6003491003,51,11,100,,1,1,2021-03-09,66,,66,21278,747
20,OFNK-15713,Bugimotwa Child development Centre Bank Account,9030005688778,49,12,100,,1,1,2021-03-09,66,,66,21278,747
21,OFNK-11886,Kapyoyon CDC Bank Account,9030006628868,54,12,100,,1,1,2021-03-09,66,,66,21278,747
22,OFNK-71170,Amor child development centre Bank Account,9030006405303,45,12,100,,1,1,2021-03-09,66,,66,21278,747
23,OFNK-27524,Kalyamenvu United Pentecostal Church Bank Account,3100063936,47,10,100,,1,1,2021-03-09,66,,66,21278,747
24,OFNK-57260,UG0681 - Centre For Evangelism Busiiro Bank Account,9030015476809,56,12,100,,1,1,2021-03-15,66,,66,21280,747
26,OFNK-61114,UG0669- Tumboboi Evangelicals of Body of Christ Church ,9030015396724,57,12,100,,1,1,2021-03-29,69,,69,21280,747
27,OFNK-51064,UG0593 Kyenjojo CDC Bank account,3100047763,58,10,100,,1,1,2021-04-09,69,,69,367,747
29,OFNK-79077,PAG RHOTIA STUDENTS CENTER,150275629100,76,2,100,,1,1,2021-08-24,27,,27,372,304
