permission_template_id,permission_template_track_number,permission_template_name,fk_role_group_id,fk_permission_id,permission_template_is_active,permission_template_created_date,permission_template_created_by,permission_template_last_modified_date,permission_template_last_modified_by,fk_status_id,fk_approval_id
1,PETE-57820,Permission_template # PETE-57820,1,27,1,2020-12-21,1,2020-12-21 08:43:33,1,212,1002
3,PETE-50482,Permission_template # PETE-50482,1,130,1,2020-12-21,1,2020-12-21 08:43:33,1,212,1002
4,PETE-62399,Permission_template # PETE-62399,1,229,1,2020-12-21,1,2020-12-21 08:43:33,1,212,1002
6,PETE-80232,Permission_template # PETE-80232,2,131,1,2020-12-21,1,2020-12-21 08:45:19,1,212,1003
7,PETE-2052,Permission_template # PETE-2052,2,230,1,2020-12-21,1,2020-12-21 08:45:19,1,212,1003
9,PETE-63348,Permission_template # PETE-63348,4,23,"0",2020-12-21,1,2020-12-21 08:45:45,1,212,1003
10,PETE-39019,Permission_template # PETE-39019,2,26,1,2020-12-21,1,2020-12-21 08:45:45,1,212,1003
11,PETE-60056,Permission_template # PETE-60056,1,22,1,2020-12-21,1,2020-12-21 08:52:33,1,212,1002
13,PETE-40597,Permission_template # PETE-40597,3,19,1,2020-12-21,1,2020-12-21 09:59:40,1,212,1110
14,PETE-89865,Permission_template # PETE-89865,3,22,1,2020-12-21,1,2020-12-21 09:59:40,1,212,1110
15,PETE-18428,Permission_template # PETE-18428,3,26,1,2020-12-21,1,2020-12-21 09:59:40,1,212,1110
16,PETE-80933,Permission_template # PETE-80933,3,106,1,2020-12-21,1,2020-12-21 09:59:40,1,212,1110
18,PETE-6400,Permission_template # PETE-6400,3,114,1,2020-12-21,1,2020-12-21 09:59:40,1,212,1110
19,PETE-84889,Permission_template # PETE-84889,3,126,1,2020-12-21,1,2020-12-21 09:59:40,1,212,1110
20,PETE-59525,Permission_template # PETE-59525,3,130,1,2020-12-21,1,2020-12-21 09:59:40,1,212,1110
21,PETE-2286,Permission_template # PETE-2286,3,151,1,2020-12-21,1,2020-12-21 09:59:41,1,212,1110
22,PETE-18363,Permission_template # PETE-18363,3,155,1,2020-12-21,1,2020-12-21 09:59:41,1,212,1110
23,PETE-1891,Permission_template # PETE-1891,3,159,1,2020-12-21,1,2020-12-21 09:59:41,1,212,1110
24,PETE-88703,Permission_template # PETE-88703,3,179,1,2020-12-21,1,2020-12-21 09:59:41,1,212,1110
25,PETE-59127,Permission_template # PETE-59127,3,183,1,2020-12-21,1,2020-12-21 09:59:41,1,212,1110
26,PETE-89714,Permission_template # PETE-89714,3,191,1,2020-12-21,1,2020-12-21 09:59:41,1,212,1110
27,PETE-42126,Permission_template # PETE-42126,3,207,1,2020-12-21,1,2020-12-21 09:59:41,1,212,1110
