project_id,project_track_number,project_name,project_code,project_description,project_start_date,project_end_date,fk_funder_id,project_cost,fk_funding_status_id,project_is_default,project_created_by,project_last_modified_by,project_created_date,project_last_modified_date,fk_approval_id,fk_status_id
4,PRCT-61518,Child Support,CHS,Child Support,2020-11-01,"0000-00-00",1,"0.00",1,1,5,5,2020-11-03,"0000-00-00 00:00:00",585,58
5,PRCT-18572,Gifts,Gifts,Gifts,2020-11-01,"0000-00-00",1,"0.00",1,"0",5,5,2020-11-03,"0000-00-00 00:00:00",586,58
6,PRCT-79621,On-going CIVs,OGC,On-going CIVs,2020-11-01,"0000-00-00",1,"0.00",1,"0",5,5,2020-11-03,"0000-00-00 00:00:00",587,58
7,PRCT-77241,500 Non Compassion Fund ,500,Non Compassion funds,2020-11-01,"0000-00-00",1,"0.00",1,"0",8,8,2020-11-04,"0000-00-00 00:00:00",605,58
8,PRCT-25811,P010 - Child Support Fund Project,P010,P010 - Beneficiary Support Fund Project,2020-12-01,"0000-00-00",2,"0.00",2,1,11,11,2020-12-10,"0000-00-00 00:00:00",364,296
9,PRCT-61702,P020 - Survival Support ,P020,P020 - Survival Support ,2020-12-01,"0000-00-00",2,"0.00",2,"0",11,11,2020-12-10,"0000-00-00 00:00:00",364,296
10,PRCT-33816,P030 – Gifts ,P030 ,P030 – Gifts ,2020-12-01,"0000-00-00",2,"0.00",2,"0",11,11,2020-12-10,"0000-00-00 00:00:00",364,296
11,PRCT-36600,P100 -Ongoing CIV ,P100,P100 -Ongoing CIV ,2020-12-01,"0000-00-00",2,"0.00",2,"0",11,11,2020-12-10,"0000-00-00 00:00:00",364,296
13,PRCT-54064,P099 - Non- Compassion Funds ,P099,P099 - Non- Compassion Funds ,2020-12-01,"0000-00-00",2,"0.00",2,"0",11,11,2020-12-10,"0000-00-00 00:00:00",364,296
14,PRCT-65667,DRF001-COVID19 Disaster Response,DRF001,DRF001-COVID19 Disaster Response,2020-12-01,2022-10-31,2,"0.00",2,"0",23,23,2020-12-21,"0000-00-00 00:00:00",364,296
15,PRCT-13541,COVID-19,COVID-19,This project hold all expenses and incomes incurred when implementing COVID 19 support.,2020-04-01,2021-12-31,2,"0.00",2,"0",23,23,2020-12-21,"0000-00-00 00:00:00",364,296
16,PRCT-81020,IGP154 - Economic empowerment to 88 youths of 8 FCPs of Arusha,IGP-154,"This intervention seeks to provide financial support, entrepreneurship and life skills to 88 young people to improve their economic situation",2020-02-29,2021-02-28,2,"0.00",2,"0",23,23,2020-12-21,"0000-00-00 00:00:00",364,296
17,PRCT-50630,"IGP156 - 	 Promoting Livelihood activities for 50 Caregivers at TZ0551",IGP156 ,"To improve economic conditions of 50 caregivers running small businesses from TZ0551 with Business Development services, Life skills and capital to enhance their businesses.",2020-02-01,2020-12-31,2,"0.00",2,"0",23,23,2020-12-21,"0000-00-00 00:00:00",364,296
18,PRCT-61543,IGP150 - IGA for Caregivers in Arusha Central and Eastern Clusters,IGP150,"	
This intervention intends to support 345 caregivers in 12 FCPs of Arusha central and Eastern with capital money to scale their small businesses and provide them with entrepreneurship skills to increase their income.",2019-10-18,2020-10-31,2,"0.00",2,"0",23,23,2020-12-21,"0000-00-00 00:00:00",364,296
19,PRCT-37361,COVID-19,COVID-19,This project hold all expenses and incomes incurred when implementing COVID 19 support.,2020-04-01,2021-04-30,2,"0.00",2,"0",29,29,2020-12-22,"0000-00-00 00:00:00",364,296
20,PRCT-23729,WTP151,WTP151,WTP151,2020-12-01,2021-02-28,2,"0.00",2,"0",23,23,2020-12-22,"0000-00-00 00:00:00",364,296
21,PRCT-12811,Improvement of sanitation condition at TZ0100,WTP233,To improve sanitation environment at TZ0100 by constructing toilets to meet the needs of 294 beneficiaries plus church members.,2021-01-10,2022-12-31,2,"0.00",2,"0",23,23,2021-01-12,"0000-00-00 00:00:00",364,296
