role_permission_id,role_permission_track_number,role_permission_name,role_permission_is_active,fk_role_id,fk_permission_id,fk_approval_id,fk_status_id,role_permission_created_date,role_permission_created_by,role_permission_last_modified_date,role_permission_last_modified_by
409,ROON-83522,Read permission for Dashboard by UG Child Development/ Field Officer,1,20,1073,16552471,811,2023-06-02,2375,2023-06-02 12:52:20,"0"
410,ROON-20746,Read permission for Dashboard by UG Project Director/ Coordinator,1,19,1073,16552600,811,2023-06-02,2679,2023-06-02 12:52:35,"0"
411,ROON-67062,Read permission for Dashboard by TZ FCP Project Director,1,11,1073,16552616,485,2023-06-02,331,2023-06-02 12:52:40,"0"
412,ROON-30613,Read permission for Dashboard by KE FCP Accountant,1,34,1073,16552617,482,2023-06-02,4209,2023-06-02 12:52:43,"0"
413,ROON-46524,Read permission for Dashboard by CIV Admin,1,27,1073,16552628,482,2023-06-02,1558,2023-06-02 12:53:02,"0"
414,ROON-30690,Read permission for Dashboard by TZ FCP Accountant,1,9,1073,16552629,485,2023-06-02,307,2023-06-02 12:53:02,"0"
415,ROON-66085,Read permission for Dashboard by KE Project Director,1,37,1073,16552650,482,2023-06-02,3905,2023-06-02 12:53:25,"0"
416,ROON-38136,Read permission for Dashboard by KE Social Worker,1,43,1073,16552766,482,2023-06-02,4574,2023-06-02 12:55:14,"0"
417,ROON-62529,Read permission for Dashboard by MW FCP Staff,1,31,1073,16553140,2083,2023-06-02,2893,2023-06-02 13:02:28,"0"
418,ROON-42481,Read permission for Dashboard by MW Country Admin Role ,1,29,1073,16553333,2083,2023-06-02,1598,2023-06-02 13:05:51,"0"
419,ROON-39386,Read permission for Dashboard by KE ASM,1,41,1073,16553527,482,2023-06-02,4697,2023-06-02 13:09:33,"0"
420,ROON-9769,Read permission for Dashboard by TZ FCP Social Worker,1,10,1073,16553696,485,2023-06-02,402,2023-06-02 13:12:33,"0"
421,ROON-27870,Read permission for Dashboard by UG Country Admin,1,7,1073,16553746,811,2023-06-02,1445,2023-06-02 13:13:38,"0"
422,ROON-60843,Read permission for Dashboard by TZ Country Admin,1,4,1073,16553863,485,2023-06-02,24,2023-06-02 13:15:20,"0"
423,ROON-12798,Read permission for Dashboard by UG FCP staff,1,8,1073,16554489,811,2023-06-02,1593,2023-06-02 13:25:46,"0"
424,ROON-80424,Read permission for Dashboard by UG Partnership Facilitator,1,12,1073,16554805,811,2023-06-02,602,2023-06-02 13:31:44,"0"
425,ROON-39032,Read permission for Dashboard by KE Partnership Facilitator,1,14,1073,16555076,482,2023-06-02,2761,2023-06-02 13:34:15,"0"
426,ROON-84079,Read permission for Dashboard by MW PF Role,1,30,1073,16555794,2083,2023-06-02,1633,2023-06-02 13:49:00,"0"
427,ROON-3500,Read permission for Dashboard by KE Country Admin,1,2,1073,16556063,482,2023-06-02,3050,2023-06-02 13:56:16,"0"
428,ROON-54183,Read permission for Dashboard by TZ Partnership Facilitator,1,16,1073,16556064,485,2023-06-02,1426,2023-06-02 13:56:17,"0"
429,ROON-47334,Read permission for Dashboard by KE FCP staff,1,3,1073,16557346,482,2023-06-02,3117,2023-06-02 14:29:21,"0"
430,ROON-88738,Read permission for Dashboard by Super System Administrator,1,1,1073,16560524,476,2023-06-02,1,2023-06-02 16:32:50,"0"
432,ROON-27667,Read permission for Dashboard by KE Health Specialist,1,35,1073,16583316,482,2023-06-04,3460,2023-06-04 18:37:50,"0"
433,ROON-51563,Role_permission # ROON-51563,"0",14,215,45598,476,2023-06-05,2801,2023-06-05 07:12:54,2801
434,ROON-56393,Role_permission # ROON-56393,1,14,291,45598,482,2023-06-05,39,2023-06-05 07:59:49,39
435,ROON-22337,Read permission for Dashboard by MW CIV Administrator,1,33,1073,16590817,2083,2023-06-05,2698,2023-06-05 08:33:23,"0"
436,ROON-60018,Read permission for Dashboard by UG National Leadership Team,1,13,1073,16592475,811,2023-06-05,68,2023-06-05 09:08:52,"0"
