setting_id,type,description,setting_created_date,setting_created_by,setting_last_modified_by,setting_last_modified_date,fk_approval_id,fk_status_id
1,system_name,Safina Grants Management System,2020-08-20,1,1,2020-08-20 12:01:44,,
2,system_title,Safina Grants Management System,2020-08-20,1,1,2020-08-20 12:01:44,,
3,address,1945 Nairobi,2020-08-20,1,1,2020-08-20 12:01:44,,
4,phone,+254711808071,2020-08-20,1,1,2020-08-20 12:01:44,,
5,system_email,toolkit@ke.ci.org,2020-08-20,1,1,2020-08-20 12:01:44,,
6,language,1,2020-08-20,1,1,2020-08-20 12:01:44,,
7,text_align,left-to-right,2020-08-20,1,1,2020-08-20 12:01:44,,
8,skin_colour,red,2020-08-20,1,1,2020-08-20 12:01:44,,
9,system_setup_completed,1,2020-08-20,1,1,2020-08-20 12:01:44,,
10,setup_password,fbdf9989ea636d6b339fd6b85f63e06e,2020-08-20,1,1,2020-08-20 12:01:44,,
11,base_currency_code,1,2020-08-20,1,1,2020-08-20 12:01:44,,
12,environment,production,2020-08-20,1,1,2020-08-20 12:01:44,,
13,maintenance_mode,"0",2020-08-20,1,1,2020-08-20 12:01:44,,
