status_id,status_track_number,status_name,status_button_label,status_decline_button_label,status_signatory_label,fk_approval_flow_id,status_approval_sequence,status_backflow_sequence,status_approval_direction,status_is_requiring_approver_action,status_created_date,status_created_by,status_last_modified_date,status_last_modified_by,fk_approval_id,fk_status_id
1,STUS-6521,Ready To Submit,"",,,1,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
2,STUS-25931,Ready To Submit,"",,,2,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
3,STUS-54547,Ready To Submit,"",,,3,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
4,STUS-54571,Ready To Submit,"",,,4,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
5,STUS-53273,Ready To Submit,"",,,5,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
6,STUS-49579,Ready To Submit,"",,,6,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
7,STUS-9017,Ready To Submit,"",,,7,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
8,STUS-64156,Ready To Submit,"",,,8,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
9,STUS-47904,Ready To Submit,"",,,9,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
10,STUS-34552,Ready To Submit,"",,,10,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
11,STUS-53880,Ready To Submit,"",,,11,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
12,STUS-56806,Ready To Submit,"",,,12,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
13,STUS-8258,Ready To Submit,"",,,13,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
14,STUS-44217,Ready To Submit,"",,,14,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
15,STUS-30673,Ready To Submit,"",,,15,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
16,STUS-32130,Ready To Submit,"",,,16,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
17,STUS-38807,Ready To Submit,"",,,17,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
18,STUS-68660,Ready To Submit,"",,,18,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
19,STUS-71102,Ready To Submit,"",,,19,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
20,STUS-46537,Ready To Submit,"",,,20,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
21,STUS-25757,Ready To Submit,"",,,21,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
22,STUS-67082,Ready To Submit,"",,,22,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
23,STUS-39783,Ready To Submit,"",,,23,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
24,STUS-65110,Ready To Submit,"",,,24,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
25,STUS-30765,Ready To Submit,"",,,25,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
26,STUS-70217,Ready To Submit,"",,,26,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
27,STUS-13894,Ready To Submit,"",,,27,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
28,STUS-30363,Ready To Submit,"",,,28,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
29,STUS-35950,Ready To Submit,"",,,29,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
30,STUS-67356,Ready To Submit,"",,,30,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
31,STUS-18936,Ready To Submit,"",,,31,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
32,STUS-62655,Ready To Submit,"",,,32,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
33,STUS-18428,Ready To Submit,"",,,33,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
34,STUS-44018,Ready To Submit,"",,,34,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
35,STUS-36620,Ready To Submit,"",,,35,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
36,STUS-17333,Ready To Submit,"",,,36,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
37,STUS-25974,Ready To Submit,"",,,37,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
38,STUS-14322,Ready To Submit,"",,,38,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
39,STUS-78841,Ready To Submit,"",,,39,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
40,STUS-64869,Ready To Submit,"",,,40,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
41,STUS-37451,Ready To Submit,"",,,41,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
42,STUS-36599,Ready To Submit,"",,,42,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
43,STUS-36059,Ready To Submit,"",,,43,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
44,STUS-45523,Ready To Submit,"",,,44,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
45,STUS-71777,Ready To Submit,"",,,45,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
46,STUS-53865,Ready To Submit,"",,,46,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
47,STUS-34057,Ready To Submit,"",,,47,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
48,STUS-7850,Ready To Submit,"",,,48,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
49,STUS-26603,Ready To Submit,"",,,49,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
50,STUS-46816,Ready To Submit,"",,,50,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
51,STUS-86204,Ready To Submit,"",,,51,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
52,STUS-75465,Ready To Submit,"",,,52,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
53,STUS-34924,Ready To Submit,"",,,53,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
54,STUS-2021,Ready To Submit,"",,,54,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
55,STUS-50695,Ready To Submit,"",,,55,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
56,STUS-27611,Ready To Submit,"",,,56,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
57,STUS-38047,Ready To Submit,"",,,57,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
58,STUS-85414,Ready To Submit,"",,,58,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
59,STUS-52888,Ready To Submit,"",,,59,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
60,STUS-70612,Ready To Submit,"",,,60,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
61,STUS-34167,Ready To Submit,"",,,61,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
62,STUS-82507,Ready To Submit,"",,,62,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
63,STUS-32734,Ready To Submit,"",,,63,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
64,STUS-35566,Ready To Submit,"",,,64,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
65,STUS-37206,Ready To Submit,"",,,65,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
66,STUS-82231,Ready To Submit,"",,,66,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
67,STUS-3843,Ready To Submit,"",,,67,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
68,STUS-60232,Ready To Submit,"",,,68,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
69,STUS-11026,Ready To Submit,"",,,69,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
70,STUS-47581,Ready To Submit,"",,,70,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
71,STUS-71514,Ready To Submit,"",,,71,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
72,STUS-85021,Ready To Submit,"",,,72,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
73,STUS-4595,Ready To Submit,"",,,73,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
74,STUS-66306,Ready To Submit,"",,,74,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
75,STUS-47676,Ready To Submit,"",,,75,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
76,STUS-12612,Ready To Submit,"",,,76,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
77,STUS-26121,Ready To Submit,"",,,77,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
78,STUS-56014,Ready To Submit,"",,,78,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
79,STUS-40492,Ready To Submit,"",,,79,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
80,STUS-57974,Ready To Submit,"",,,80,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
81,STUS-27014,Ready To Submit,"",,,81,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
82,STUS-89537,Ready To Submit,"",,,82,1,"0",1,1,2020-08-20,1,2020-12-02 16:56:56,1,,
83,STUS-69795,Ready To Submit,"",,,83,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
84,STUS-39870,Ready To Submit,"",,,84,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
85,STUS-16940,Ready To Submit,"",,,85,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
86,STUS-29105,Ready To Submit,"",,,86,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
87,STUS-16686,Ready To Submit,"",,,87,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
88,STUS-57420,Ready To Submit,"",,,88,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
89,STUS-86065,Ready To Submit,"",,,89,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
90,STUS-31741,Ready To Submit,"",,,90,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
91,STUS-85096,Ready To Submit,"",,,91,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
92,STUS-38487,Ready To Submit,"",,,92,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
93,STUS-56443,Ready To Submit,"",,,93,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
94,STUS-41588,Ready To Submit,"",,,94,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
95,STUS-1042,Ready To Submit,"",,,95,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
96,STUS-88383,Ready To Submit,"",,,96,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
97,STUS-19373,Ready To Submit,"",,,97,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
98,STUS-62152,Ready To Submit,"",,,98,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
99,STUS-58681,Ready To Submit,"",,,99,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
100,STUS-70539,Ready To Submit,"",,,100,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
101,STUS-78270,Ready To Submit,"",,,101,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
102,STUS-75828,Ready To Submit,"",,,102,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
103,STUS-41529,Ready To Submit,"",,,103,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
104,STUS-2315,Ready To Submit,"",,,104,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
105,STUS-36789,Ready To Submit,"",,,105,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
106,STUS-82473,Ready To Submit,Activate,,"",106,1,"0",1,1,2020-08-21,1,2024-04-02 11:49:39,1,,
107,STUS-53598,Ready To Submit,"",,,107,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
108,STUS-80262,Ready To Submit,"",,,108,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
109,STUS-59351,Ready To Submit,"",,,109,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
110,STUS-47533,Ready To Submit,"",,,110,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
111,STUS-40428,Ready To Submit,"",,,111,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
112,STUS-31204,Ready To Submit,"",,,112,1,"0",1,1,2020-08-21,1,2020-12-02 16:56:56,1,,
113,STUS-32024,Ready To Submit,"",,,113,1,"0",1,1,2020-08-21,3,2020-12-02 16:56:56,3,,
114,STUS-28403,Ready To Submit,"",,,114,1,"0",1,1,2020-08-21,3,2020-12-02 16:56:56,3,,
115,STUS-50565,Ready To Submit,"",,,115,1,"0",1,1,2020-08-21,3,2020-12-02 16:56:56,3,,
116,STUS-65904,Ready To Submit,"",,,116,1,"0",1,1,2020-08-21,3,2020-12-02 16:56:56,3,,
117,STUS-27114,Ready To Submit,"",,,117,1,"0",1,1,2020-08-21,3,2020-12-02 16:56:56,3,,
