status_role_id,status_role_track_number,status_role_name,fk_role_id,fk_status_id,status_role_status_id,status_role_is_active,status_role_created_by,status_role_created_date,status_role_last_modified_by,status_role_last_modified_date,fk_approval_id
1,STLE-10862,Ready To Submit,9,259,150,1,1,2020-12-21,1,2020-12-21 13:45:59,
2,STLE-55050,Ready To Submit,10,259,150,1,1,2020-12-21,1,2020-12-21 13:45:59,
3,STLE-78527,Ready To Submit,11,259,150,1,1,2020-12-21,1,2020-12-21 13:45:59,
9,STLE-75268,Fully Approved,4,259,369,1,1,2021-01-05,1,2021-01-06 09:38:09,
10,STLE-78530,Ready To Submit,9,259,368,1,1,2020-12-21,1,2021-01-07 07:59:12,
11,STLE-78531,Ready To Submit,10,259,368,"0",1,2020-12-21,1,2021-09-09 21:08:47,
12,STLE-78531,Ready To Submit,11,259,368,"0",1,2020-12-21,1,2021-09-09 21:09:14,
13,STLE-75265,Allow Edit Reinstatement,4,259,474,1,1,2021-01-05,1,2021-01-07 07:49:51,
14,STLE-75268,Reinstated after Edit,4,259,475,1,1,2021-01-05,1,2021-01-06 09:38:09,
15,STLE-10899,Ready To Submit,3,259,366,"0",1,2020-12-21,1,2023-05-05 12:32:04,
16,STLE-10869,Ready To Submit,3,259,149,1,1,2020-12-21,1,2020-12-21 13:45:59,
17,STLE-10872,Ready To Submit,8,259,826,1,1,2020-12-21,1,2021-03-15 09:13:26,
19,STLE-1087256,Ready To Submit,8,259,730,1,1,2020-12-21,1,2021-03-15 09:13:26,
32,STLE-11327,National Office Approval [UG Country Admin],7,815,1017,1,66,2021-08-02,66,2021-08-02 09:56:28,67918
33,STLE-30094,National Office Approval [UG Partnership Facilitator],12,815,1017,1,66,2021-08-02,66,2021-08-02 09:56:28,67919
34,STLE-73938,Reinstated for National Office Approval [UG Country Admin],7,815,1018,1,66,2021-08-02,66,2021-08-02 09:56:28,67920
35,STLE-42546,Reinstated for National Office Approval [UG Partnership Facilitator],12,815,1018,1,66,2021-08-02,66,2021-08-02 09:56:28,67921
36,STLE-63045,Declined from National Office Approval [UG Country Admin],7,815,1019,1,66,2021-08-02,66,2021-08-02 09:56:28,67922
37,STLE-11184,Declined from National Office Approval [UG Partnership Facilitator],12,815,1019,1,66,2021-08-02,66,2021-08-02 09:56:28,67923
50,STLE-2934,FCP Committee Approval [TZ FCP Committee],17,265,1080,1,220,2021-09-09,220,2021-09-09 21:01:26,119360
51,STLE-64642,Reinstated for FCP Committee Approval [TZ FCP Committee],17,265,475,1,220,2021-09-09,220,2021-09-09 21:01:26,119361
52,STLE-82643,Declined from FCP Committee Approval [TZ FCP Committee],17,265,474,1,220,2021-09-09,220,2021-09-09 21:01:26,119362
53,STLE-51112,Facilitator Review [TZ Partnership Facilitator],16,265,1083,1,220,2021-09-09,220,2021-09-09 21:03:49,119493
54,STLE-15975,Reinstated for Facilitator Review [TZ Partnership Facilitator],16,265,475,1,220,2021-09-09,220,2021-09-09 21:03:49,119494
55,STLE-9551,Declined from Facilitator Review [TZ Partnership Facilitator],16,265,474,1,220,2021-09-09,220,2021-09-09 21:03:49,119495
56,STLE-12936,Project Coordinator Review [TZ FCP Project Director],11,265,1088,1,220,2021-09-09,220,2024-03-25 14:22:43,119613
57,STLE-57171,Reinstated for Project Coordinator Review [TZ FCP Project Director],11,265,1087,1,220,2021-09-09,220,2021-09-09 21:06:23,119614
58,STLE-70643,Declined from Project Coordinator Review [TZ FCP Project Director],11,265,1086,1,220,2021-09-09,220,2021-09-09 21:06:23,119615
59,STLE-3612,Ready To Submit,9,265,379,1,220,2021-09-09,220,2021-09-09 21:10:54,
60,STLE-89675,Ready To Submit,10,265,379,"0",220,2021-09-09,220,2024-04-02 11:27:36,
61,STLE-14071,Ready To Submit,11,265,379,"0",220,2021-09-09,220,2024-04-02 11:27:50,
62,STLE-10936,Project Coordinator Review [TZ FCP Project Director],11,265,1093,1,220,2021-09-09,220,2021-09-09 21:13:41,119957
63,STLE-88235,Reinstated for Project Coordinator Review [TZ FCP Project Director],11,265,1092,1,220,2021-09-09,220,2021-09-09 21:13:41,119958
64,STLE-33664,Declined from Project Coordinator Review [TZ FCP Project Director],11,265,1091,1,220,2021-09-09,220,2021-09-09 21:13:41,119959
65,STLE-41309,Project Commitee Approval [TZ FCP Committee],17,265,1096,1,220,2021-09-09,220,2021-09-09 21:15:42,120051
66,STLE-77120,Reinstated for Project Commitee Approval [TZ FCP Committee],17,265,1092,1,220,2021-09-09,220,2021-09-09 21:15:42,120052
67,STLE-5960,Declined from Project Commitee Approval [TZ FCP Committee],17,265,1091,1,220,2021-09-09,220,2021-09-09 21:15:42,120053
68,STLE-89693,National Office Review [National Office Accountant],18,265,1099,1,220,2021-09-09,220,2021-09-09 21:18:27,120159
69,STLE-59437,Reinstated for National Office Review [National Office Accountant],18,265,1092,1,220,2021-09-09,220,2021-09-09 21:18:27,120160
70,STLE-63809,Declined from National Office Review [National Office Accountant],18,265,1091,1,220,2021-09-09,220,2021-09-09 21:18:27,120161
71,STLE-30480,Ready To Submit,9,265,400,1,220,2021-09-09,220,2021-09-09 21:19:15,
72,STLE-74060,FCP Committee Approval,4,265,1080,1,220,2021-09-09,220,2021-09-09 22:25:12,
73,STLE-75053,Ready For Sign Off,16,265,202,1,220,2021-09-09,220,2021-09-09 22:42:45,
74,STLE-66629,Ready For Sign Off,4,265,202,1,220,2021-09-09,220,2021-09-09 22:47:42,
75,STLE-88575,Budget Signed Off,4,265,420,1,220,2021-09-09,220,2021-09-09 22:48:32,
76,STLE-21668,Budget Signed Off,16,265,420,1,220,2021-09-09,220,2021-09-09 22:48:32,
77,STLE-89841,Project Coordinator Review,4,265,1088,"0",220,2021-09-09,220,2024-04-02 11:33:04,
78,STLE-69068,Facilitator Review,4,265,1083,1,220,2021-09-10,220,2021-09-10 09:11:47,
79,STLE-80848,Project Coordinator Review,17,259,1093,1,1,2021-09-11,1,2021-09-11 09:52:35,
80,STLE-40817,Ready To Submit,8,259,818,1,1,2021-09-13,1,2021-09-13 11:31:31,
81,STLE-68123,Ready To Submit,3,259,377,1,1,2021-09-13,1,2021-09-13 11:32:39,
82,STLE-9425,Project Commitee Approval,11,259,1096,1,1,2021-09-16,1,2021-09-16 10:13:57,
83,STLE-80482,Fully Approved,4,265,401,1,23,2021-10-06,23,2021-10-06 13:36:58,
84,STLE-52164,Fully Approved,18,265,401,1,23,2021-10-06,23,2021-10-06 13:36:58,
85,STLE-42064,Ready To Submit,20,815,826,1,582,2021-10-09,582,2021-10-09 13:22:31,
86,STLE-82374,Ready To Submit,20,815,818,1,582,2021-10-09,582,2021-10-09 13:37:09,
87,STLE-16466,Project Director/Coordinator Review [UG Project Director/ Coordinator],19,815,2021,1,582,2021-10-09,582,2021-10-09 13:41:54,213163
88,STLE-23579,Reinstated for Project Director/Coordinator Review [UG Project Director/ Coordinator],19,815,821,1,582,2021-10-09,582,2021-10-09 13:41:54,213164
89,STLE-24756,Declined from Project Director/Coordinator Review [UG Project Director/ Coordinator],19,815,820,1,582,2021-10-09,582,2021-10-09 13:41:54,213165
90,STLE-18631,National Office Review,4,265,1099,1,23,2021-10-09,23,2021-10-09 19:09:00,
91,STLE-45064,Ready To Submit for Dialogue,19,815,730,1,69,2021-10-14,69,2021-10-14 06:54:55,
92,STLE-14128,Project Director/Coordinator Review,8,815,2021,"0",69,2021-10-14,69,2024-06-19 07:20:12,
93,STLE-38910,Ready To Submit,11,265,400,1,23,2021-10-25,23,2021-10-25 09:01:05,
94,STLE-54513,Fully Approved,16,265,369,1,23,2021-10-26,23,2021-10-26 04:19:22,
95,STLE-39477,FCP Committee Approval,11,265,1080,1,30,2021-10-28,30,2021-10-28 10:02:27,
96,STLE-73722,Fully Approved,4,265,432,1,30,2021-10-29,30,2024-03-29 16:54:18,
97,STLE-49124,Project Coordinator Review,9,265,1093,1,30,2021-10-30,30,2021-10-30 09:31:50,
98,STLE-63596,Active,14,263,419,1,39,2021-11-03,39,2021-11-03 08:00:42,
99,STLE-51951,Ready for Signing Off,3,263,201,"0",39,2021-11-03,39,2023-06-22 09:00:47,
100,STLE-84694,Ready for Signing Off,19,815,886,1,69,2021-11-04,69,2021-11-04 12:21:02,
101,STLE-78685,Fully Approved,25,815,863,1,69,2021-11-05,69,2021-11-05 08:11:05,
102,STLE-34938,Ready To Submit,19,815,862,1,79,2021-11-05,79,2021-11-05 08:29:21,
103,STLE-42607,PF Approval,41,263,2044,"0",39,2022-03-16,39,2024-09-17 11:54:11,
104,STLE-37487,Active,12,815,887,1,69,2022-04-12,69,2022-04-12 08:44:50,
105,STLE-84040,Active,7,815,887,1,69,2022-04-12,69,2022-04-12 08:46:15,
106,STLE-69477,PF MFR Validation,14,263,2047,"0",39,2022-05-06,39,2022-11-10 01:33:44,
107,STLE-55361,Ready To Submit,31,2159,2050,1,1598,2022-05-12,1598,2022-05-12 13:09:49,
108,STLE-28322,Ready for Signing Off,31,2159,2130,1,1598,2022-05-12,1598,2022-05-12 13:12:00,
109,STLE-74088,Fully Approved,30,2159,2131,1,1598,2022-05-12,1598,2022-05-12 13:12:33,
110,STLE-70870,Ready To Submit,31,2159,2058,1,1598,2022-05-12,1598,2022-05-12 13:16:53,
111,STLE-65530,Fully Approved,30,2159,2059,1,1598,2022-05-12,1598,2022-05-12 13:18:10,
112,STLE-41767,PF Review,30,2159,2222,1,1598,2022-05-12,1598,2022-05-12 13:18:38,
113,STLE-42725,Ready To Submit,31,2159,2074,1,1598,2022-05-12,1598,2022-05-12 13:20:16,
