voucher_type_id,voucher_type_track_number,voucher_type_name,voucher_type_is_active,voucher_type_abbrev,fk_voucher_type_account_id,fk_voucher_type_effect_id,voucher_type_is_cheque_referenced,voucher_type_is_hidden,fk_account_system_id,voucher_type_created_by,voucher_type_created_date,voucher_type_last_modified_by,voucher_type_last_modified_date,fk_approval_id,fk_status_id
1,VOPE-35324,Cash Received,1,CR,1,1,"0","0",3,3,2020-08-21,3,,340,78
2,VOPE-8473,Payment by Cheque,1,CHQ,1,2,1,"0",3,3,2020-08-21,3,,341,78
3,VOPE-52373,Bank Adjustment,1,BCHG,1,2,"0","0",3,5,2020-11-03,5,,539,78
5,VOPE-62381,Payment by Cash,1,PC,2,2,"0","0",3,5,2020-11-03,5,,541,78
6,VOPE-74699,Chequed Petty Cash Deposit,1,CPCD,1,3,1,"0",3,5,2020-11-03,5,,542,78
7,VOPE-68120,Petty Cash Re-banking,1,PCR,2,4,"0","0",3,5,2020-11-03,5,,543,78
8,VOPE-59618,Payment by Cheque ,1,PCHQ,1,2,1,"0",4,11,2020-12-10,11,,972,319
9,VOPE-27397,Payment by Cash,1,PC,2,2,"0","0",4,11,2020-12-10,11,,973,319
10,VOPE-85792,Cash Withdraw from The Bank,1,CWB,1,3,1,"0",4,11,2020-12-10,11,,974,319
11,VOPE-6995,Cash Rebanking ,1,CRB,2,4,"0","0",4,11,2020-12-10,11,,975,319
12,VOPE-35568,Cash Receipts,1,CR,1,1,"0","0",4,11,2020-12-10,11,,976,319
13,VOPE-50991,Payment by Electronic Transfers,1,PET,1,2,"0","0",4,11,2020-12-10,11,,977,319
14,VOPE-84431,Bank to Bank Cash transfer ,1,B2B,1,5,"0","0",4,11,2020-12-10,11,,980,319
15,VOPE-18707,Electronic Bank Funds Transfer (EFT),1,EFT,1,2,"0","0",3,40,2021-02-03,40,,9631,318
16,VOPE-86387,Cash Received to Bank (CR2B),1,CR2B,1,1,"0","0",5,66,2021-03-15,66,,21784,915
17,VOPE-63805,Cheque Payments (CQP2V),1,CP2V,1,2,1,"0",5,66,2021-03-15,66,,21785,915
18,VOPE-13750,Cash Withdrawals from Bank (CW4B),1,CW4B,1,3,1,"0",5,66,2021-03-15,66,,21788,915
19,VOPE-77696,Interest Receivable from Bank (IR4B),1,IR4B,1,1,"0","0",5,66,2021-03-15,66,,21789,915
20,VOPE-79757,Cash Payment to Vendor (CP2V),1,CP2V,2,2,"0","0",5,66,2021-03-15,66,,21790,915
21,VOPE-68242,Cash Rebank (C2B),1,C2B,2,4,"0","0",5,66,2021-03-15,66,,21791,915
22,VOPE-72428,Electronic Funds Transfer (EFT),1,EFT,1,2,"0","0",5,66,2021-03-15,66,,21792,915
23,VOPE-59024,Bank Charges (BC),1,BC,1,2,"0","0",5,66,2021-03-15,66,,21793,915
24,VOPE-14980,Payment by EFT,"0",HQEFT,1,2,1,"0",3,39,2021-04-06,39,,34425,318
25,VOPE-30227,Cash Received to Bank,1,CRB,1,1,"0","0",6,1598,2022-05-12,1598,,3467277,2211
26,VOPE-60715,Payments By Cheque,1,PC,1,2,1,"0",6,1598,2022-05-12,1598,,3467282,2211
27,VOPE-76078,Cash withdrawal from Bank to Cash,1,CWBC,1,3,1,"0",6,1598,2022-05-12,1598,,3467288,2211
28,VOPE-74078,Cash Rebanking,1,CRB,2,4,"0","0",6,1598,2022-05-12,1598,,3467304,2211
