account_system_language_id,account_system_language_name,account_system_language_track_number,fk_account_system_id,fk_language_id,account_system_language_created_date,account_system_language_created_by,account_system_language_last_modified_date,account_system_language_last_modified_by,fk_status_id,fk_approval_id
1,Account_system_language # ACGE-3219,ACGE-57998,4,1,2022-09-21,31,2022-09-21 02:56:59,31,"0",
2,Account_system_language # ACGE-60078,ACGE-61275,5,1,2022-09-21,1506,2022-09-21 03:01:19,1506,"0",
3,Account_system_language # ACGE-21435,ACGE-51368,3,1,2022-09-21,1756,2022-09-21 05:00:42,1756,"0",
4,Account_system_language # ACGE-32709,ACGE-62185,6,1,2022-09-21,2630,2022-09-21 06:34:34,2630,"0",
5,Account_system_language # ACGE-3589,ACGE-54172,2,1,2023-01-13,2930,2023-01-13 09:38:16,2930,"0",
6,Account_system_language # ACGE-20269,ACGE-7862,1,1,2023-07-18,2801,2023-07-18 14:40:31,2801,"0",
7,Account_system_language # ACGE-16952,ACGE-23590,10,1,2023-11-17,5450,2023-11-17 08:57:33,5450,"0",
8,Account_system_language # ACGE-169525,ACGE-235905,9,1,2023-11-17,5450,2023-11-17 08:57:33,5450,"0",
10,Account_system_language # ACGE-16952545,ACGE-23590545,12,1,2023-11-17,5450,2023-11-17 08:57:33,5450,"0",
11,Account_system_language # ACGE-35522,ACGE-85207,1,2,2024-07-05,4880,2024-07-05 07:56:05,4880,76,
12,Account_system_language # ACGE-355489,ACGE-85277,14,3,2024-07-05,4880,2024-07-05 07:56:05,4880,76,
13,Account_system_language # ACGE-79380,ACGE-57531,12,2,2025-01-08,8909,2025-01-08 12:57:01,8909,"0",
14,Account_system_language # ACGE-57755,ACGE-25761,14,1,2025-01-21,10427,2025-01-21 12:41:34,10427,5370,
15,Account_system_language # ACGE-56069,ACGE-83157,1,3,2025-01-21,1,2025-01-21 13:12:21,1,76,
16,Account_system_language # ACGE-56069,ACGE-83157,15,2,2025-01-21,1,2025-03-16 20:14:46,1,76,
17,Account_system_language # ACGE-6901,ACGE-9940,15,1,2025-03-16,11469,2025-03-16 21:02:07,11469,"0",
