approve_item_id,approve_item_track_number,approve_item_name,approve_item_is_active,approve_item_created_date,approve_item_created_by,approve_item_last_modified_date,approve_item_last_modified_by,fk_approval_id,fk_status_id
1,APEM-38919,account_system,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
2,APEM-37055,approval,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
3,APEM-42407,approval_flow,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
4,APEM-56636,approve_item,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
5,APEM-67430,bank,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
6,APEM-58047,budget,1,2020-08-20,1,2021-09-06 22:12:57,1,,
7,APEM-45112,budget_item,1,2020-08-20,1,2021-01-07 07:54:17,1,,
8,APEM-33690,budget_item_detail,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
9,APEM-86476,cheque_book,1,2020-08-20,1,2020-12-21 13:48:54,1,,
10,APEM-56923,ci_sessions,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
11,APEM-43269,context_center,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
12,APEM-30022,context_center_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
13,APEM-56388,context_cluster,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
14,APEM-11860,context_cluster_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
15,APEM-6531,context_cohort,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
16,APEM-1432,context_cohort_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
17,APEM-1767,context_country,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
18,APEM-75077,context_country_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
19,APEM-47140,context_definition,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
20,APEM-31871,context_global,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
21,APEM-37923,context_global_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
22,APEM-1197,context_region,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
23,APEM-18594,context_region_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
24,APEM-36647,contra_account,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
25,APEM-83189,country_currency,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
26,APEM-6304,currency_conversion,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
27,APEM-26186,currency_conversion_detail,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
28,APEM-70886,dashboard,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
29,APEM-35596,department,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
30,APEM-41023,department_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
31,APEM-21947,designation,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
32,APEM-73482,expense_account,"0",2020-08-20,1,2022-11-10 09:59:21,1,,
33,APEM-79474,financial_report,1,2020-08-20,1,2021-09-09 21:11:27,1,,
34,APEM-19734,funder,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
35,APEM-82943,funding_status,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
