context_cohort_id,context_cohort_track_number,context_cohort_name,context_cohort_description,fk_office_id,fk_context_definition_id,fk_context_country_id,context_cohort_created_date,context_cohort_created_by,context_cohort_last_modified_date,context_cohort_last_modified_by,fk_approval_id,fk_status_id
2,CORT-21258,Context for office Central Base,Context for office Central Base,6,3,1,2020-08-21,1,2024-06-13 04:39:11,23,313,12
4,CORT-70831,Context for office Central Rift and Upper Eastern,Context for office Central Rift and Upper Eastern,12,3,2,2020-11-03,1,"0000-00-00 00:00:00",1,496,12
5,CORT-19273,Context for office Mount Kilimanjaro Base,Context for office Mount Kilimanjaro Base,15,3,1,2020-12-09,1,"0000-00-00 00:00:00",1,681,"0"
6,CORT-72600,Context for office Ngorongoro Base,Context for office Ngorongoro Base,16,3,1,2020-12-09,1,2024-05-21 07:33:11,31,684,"0"
7,CORT-34122,Context for office CITAM HQ,Context for office CITAM HQ,29,3,2,2021-02-03,1,"0000-00-00 00:00:00",1,9633,"0"
8,CORT-63981,Context for office UG-NORTH Region,Context for office UG-NORTH Region,31,3,3,2021-02-25,1,"0000-00-00 00:00:00",1,20136,"0"
9,CORT-21655,Context for office UG-CENTRAL Region,Context for office UG-CENTRAL Region,32,3,3,2021-02-25,1,"0000-00-00 00:00:00",1,20139,"0"
10,CORT-48727,Context for office UG-MIDWEST Region,Context for office UG-MIDWEST Region,33,3,3,2021-02-25,1,"0000-00-00 00:00:00",1,20142,"0"
11,CORT-51832,Context for office UG-SOUTHWEST Region,Context for office UG-SOUTHWEST Region,34,3,3,2021-02-25,1,"0000-00-00 00:00:00",1,20145,"0"
12,CORT-8330,Context for office UG-EASTERN Region,Context for office UG-EASTERN Region,35,3,3,2021-02-25,1,"0000-00-00 00:00:00",1,20148,"0"
15,CORT-4042,Context for office Lake Victoria Base,Context for office Lake Victoria Base,65,3,1,2021-07-29,31,"0000-00-00 00:00:00",31,65497,967
16,CORT-10158,Context for office Western Base,Context for office Western Base,68,3,1,2021-08-24,1,"0000-00-00 00:00:00",1,76487,955
17,CORT-61354,Context for office Eastern Base,Context for office Eastern Base,69,3,1,2021-08-24,1,"0000-00-00 00:00:00",1,76492,955
19,CORT-56563,Context for office UG-NorthEast Region,Context for office UG-NorthEast Region,164,3,3,2021-10-01,1,"0000-00-00 00:00:00",1,193983,955
20,CORT-8289,Context for office COSER ,Context for office COSER ,777,3,2,2022-03-30,39,"0000-00-00 00:00:00",39,2744953,963
21,CORT-63289,Context for office Nairobi Region,Context for office Nairobi Region,780,3,2,2022-03-31,39,2025-01-16 09:07:31,2761,2747492,963
22,CORT-88893,Context for office MWBR - Blantyre Region,Context for office MWBR - Blantyre Region,796,3,4,2022-05-12,1598,"0000-00-00 00:00:00",1598,3465154,"0"
