expense_account_id,expense_account_track_number,expense_account_name,expense_account_description,expense_account_code,expense_account_is_admin,fk_expense_vote_heads_category_id,expense_account_is_medical_rembursable,expense_account_is_active,expense_account_is_budgeted,fk_income_account_id,fk_approval_id,fk_status_id,expense_account_created_date,expense_account_last_modified_date,expense_account_created_by,expense_account_last_modified_by
1,EXNT-10330,E10 - Education Supplies and Fees,Education Supplies and Fees,E10,"0",5,"0",1,1,1,352,29,2020-08-21,,3,3
2,EXNT-12048,E20 - Office Supplies,Office Supplies,E20,"0",5,"0",1,1,1,353,29,2020-08-21,,3,3
3,EXNT-62318,E15 - School Uniforms and Clothes,School Uniforms and Clothes,E15,"0",5,"0",1,1,1,556,29,2020-11-03,,5,5
4,EXNT-15341,E25 - Teaching aids and reference materials,Teaching aids and reference materials,E25,"0",5,"0",1,1,1,557,29,2020-11-03,,5,5
5,EXNT-59349,"E30 - Health Provision, GOBIFFF and Food Supplements","Health Provision, GOBIFFF and Food Supplements",E30,"0",5,"0",1,1,1,558,29,2020-11-03,,5,5
6,EXNT-50100,E35 - Personal Hygiene,Personal Hygiene,E35,"0",5,"0",1,1,1,559,29,2020-11-03,,5,5
7,EXNT-22305,"E40 - Food, Nutrition and cooking utensils","Food, Nutrition and cooking utensils",E40,"0",5,"0",1,1,1,560,29,2020-11-03,,5,5
8,EXNT-44905,E45 - Domestic Assistance,Domestic Assistance,E45,"0",5,"0",1,1,1,561,29,2020-11-03,,5,5
9,EXNT-87220,E50 - Livelihood and Skills Training,Livelihood and Skills Training,E50,"0",5,"0",1,1,1,562,29,2020-11-03,,5,5
10,EXNT-83132,E55 - Social Development,Social Development,E55,"0",5,"0",1,1,1,563,29,2020-11-03,,5,5
11,EXNT-88204,E60 - Spiritual Development,Spiritual Development,E60,"0",5,"0",1,1,1,564,29,2020-11-03,,5,5
12,EXNT-14103,E65 - Staff salaries and wages,Staff salaries and wages,E65,1,5,"0",1,1,1,565,29,2020-11-03,,5,5
13,EXNT-24518,E70 - Administration,Administration,E70,1,5,"0",1,1,1,566,29,2020-11-03,,5,5
14,EXNT-20223,E74 - Project Safety ,Project Safety,E74,"0",5,"0",1,1,1,567,29,2020-11-03,,5,5
