role_id,role_track_number,role_name,role_shortname,role_description,role_is_active,role_is_new_status_default,role_is_department_strict,fk_context_definition_id,fk_account_system_id,role_created_by,role_created_date,role_last_modified_date,role_last_modified_by,role_deleted_at,fk_approval_id,fk_status_id
1,ROLE-34069,Super System Administrator,superadmin,Super System Administrator,1,1,"0",6,1,1,2020-08-20,2020-08-20 12:01:49,1,,11,"0"
2,ROLE-38047,KE Country Admin,kecountryadmin,"
Country Admin",1,"0","0",4,3,1,2020-08-21,2020-08-21 07:30:17,1,,290,68
3,ROLE-86882,KE FCP staff,kefcpstaff,Update Voucher and Requests,"0","0","0",1,3,1,2020-08-21,2020-08-21 08:59:16,1,,324,68
4,ROLE-38047,TZ Country Admin,tzcountryadmin,Country Admin,1,"0","0",4,4,1,2020-08-21,2020-08-21 07:30:17,1,,290,68
7,ROLE-38047,UG Country Admin,ugcountryadmin,Country Admin,1,"0","0",4,5,1,2020-08-21,2020-08-21 07:30:17,1,,290,68
8,ROLE-86882,UG FCP staff,ugfcpstaff,Update Voucher and Requests,"0","0","0",1,5,1,2020-08-21,2020-08-21 08:59:16,1,,324,68
9,ROLE-22497,TZ FCP Accountant,tzaccountant,TZ FCP Accountant,1,"0","0",1,4,1,2020-12-21,2020-12-21 08:06:42,1,,999,359
10,ROLE-1624,TZ FCP Social Worker,tzfcpsw,TZ FCP Social Worker,1,"0","0",1,4,1,2020-12-21,2020-12-21 08:37:53,1,,1000,359
11,ROLE-2471,TZ FCP Project Director,tzfcppd,TZ FCP Project Director,1,"0","0",1,4,1,2020-12-21,2020-12-21 08:38:33,1,,1001,359
12,ROLE-22109,UG Partnership Facilitator,ugpf,UG Partnership Facilitator,1,"0","0",2,5,1,2021-02-26,2021-02-26 05:01:39,1,,20290,359
13,ROLE-53940,UG National Leadership Team,ugnlt,UG National Leadership Team,1,"0","0",4,5,1,2021-03-09,2021-03-09 12:00:37,1,,21114,359
14,ROLE-64240,KE Partnership Facilitator,kepf,KE Partnership Facilitator,1,"0","0",2,3,1,2021-05-11,2021-05-11 07:21:59,1,,45598,359
16,ROLE-38047,TZ Partnership Facilitator,tzpf,TZ Partnership Facilitator,1,"0","0",2,4,1,2020-09-09,2020-09-09 07:30:17,1,,290,68
