id,class,key,value,type,context,created_at,updated_at
22,Config\GrantsConfig,preventUsingGlobalPermissionsByNonAdmins,1,boolean,,2024-11-11 14:30:05,2024-11-11 14:30:05
23,Config\GrantsConfig,methodToAttachPermissionToRole,both,string,,2024-11-11 14:30:05,2024-11-11 14:30:05
24,Config\GrantsConfig,defaultLaunchPage,Dashboard,string,,2024-11-11 14:30:05,2024-11-11 14:30:05
25,Config\GrantsConfig,systemName,Safina Grants Managememt System,string,,2024-11-11 14:30:05,2024-11-11 14:30:05
26,Config\GrantsConfig,modules,"[""system"",""core"",""grants""]",string,,2024-11-11 14:30:05,2024-11-11 14:30:05
27,Config\GrantsConfig,maxPriorityMenuItems,10,integer,,2024-11-11 14:30:05,2024-11-11 14:30:05
28,Config\GrantsConfig,tableThatDontRequireHistoryFields,"[""status"",""approve_item"",""approval_flow"",""ci_sessions""]",string,,2024-11-11 14:30:05,2024-11-11 14:30:05
29,Config\GrantsConfig,tablesNotRequiredInMenu,"[""menu"",""ci_sessions""]",string,,2024-11-11 14:30:05,2024-11-11 14:30:05
30,Config\GrantsConfig,extraMenuItemColumns,4,integer,,2024-11-11 14:30:05,2024-11-11 14:30:05
31,Config\GrantsConfig,maxCountOfFavoritesMenuItems,10,integer,,2024-11-11 14:30:05,2024-11-11 14:30:05
32,Config\GrantsConfig,master_table_columns,2,integer,,2024-11-11 14:30:05,2024-11-11 14:30:05
33,Config\GrantsConfig,use_select2_plugin,1,boolean,,2024-11-11 14:30:05,2024-11-11 14:30:05
34,Config\GrantsConfig,attachment_table_name,attachment,string,,2024-11-11 14:30:05,2024-11-11 14:30:05
35,Config\GrantsConfig,attachment_key_column,attachment_url,string,,2024-11-11 14:30:05,2024-11-11 14:30:05
36,Config\GrantsConfig,s3_region,eu-west-1,string,,2024-11-11 14:30:05,2024-11-11 14:30:05
37,Config\GrantsConfig,s3_bucket_name,fms-bucket,string,,2024-11-11 14:30:05,2024-11-11 14:30:05
38,Config\GrantsConfig,max_count_of_favorites_menu_items,10,integer,,2024-11-11 14:30:05,2024-11-11 14:30:05
40,Config\GrantsConfig,maintenance_mode,"0",boolean,,2024-11-11 14:59:59,2024-11-11 14:59:59
41,Config\ContextConfig,use_pca_objectives,[],string,,2024-11-11 15:02:29,2024-11-11 15:02:29
42,Config\ContextConfig,allow_attachment_on_voucher,[],string,,2024-11-11 15:02:29,2024-11-11 15:02:29
43,Config\ContextConfig,user_privacy_consent_required,[],string,,2024-11-11 15:02:29,2024-11-11 15:02:29
44,Config\GrantsConfig,allow_skipping_of_cheque_leaves,1,boolean,,2024-11-15 23:54:05,2024-11-15 23:54:05
45,Config\GrantsConfig,use_voucher_type_abbreviation,1,boolean,,2024-11-15 23:54:05,2024-11-15 23:54:05
46,Config\GrantsConfig,use_default_logo,"0",boolean,,2024-11-16 02:12:04,2024-11-16 02:12:04
47,Config\GrantsConfig,append_office_code_to_voucher_number,1,boolean,,2024-11-16 02:12:04,2024-11-16 02:12:04
48,Config\GrantsConfig,toggle_accounts_by_allocation,1,boolean,,2024-11-20 03:11:17,2024-11-20 03:11:17
49,Config\GrantsConfig,fy_year_digits,2,integer,,2025-01-27 13:15:58,2025-01-27 13:15:58
50,Config\GrantsConfig,fy_year_reference,next,string,,2025-01-27 13:15:58,2025-01-27 13:15:58
51,Config\GrantsConfig,show_all_budget_tags,1,boolean,,2025-02-04 11:08:46,2025-02-04 11:08:46
52,Config\GrantsConfig,size_in_months_of_a_budget_review_period,3,integer,,2025-02-04 11:08:46,2025-02-04 11:08:46
53,Config\GrantsConfig,user_token_expiration_time,3600,integer,,2025-02-15 15:20:45,2025-02-15 15:20:45
54,Config\GrantsConfig,link_new_project_allocations_only_to_default_bank_accounts,1,boolean,,2025-02-26 09:14:47,2025-02-26 09:14:47
55,Config\GrantsConfig,drop_transacting_offices,1,boolean,,2025-02-26 09:14:47,2025-02-26 09:14:47
56,Config\GrantsConfig,cheque_cancel_and_resuse_limit,4,integer,,2025-02-27 08:35:53,2025-02-27 08:35:53
57,Config\GrantsConfig,review_last_quarter_after_mark_for_review,1,boolean,,2025-03-04 22:24:10,2025-03-04 22:24:10
58,Config\GrantsConfig,upload_files_to_s3,1,boolean,,2025-03-04 22:24:10,2025-03-04 22:24:10
59,Config\GrantsConfig,only_combined_center_financial_reports,"0",boolean,,2025-03-07 09:52:22,2025-03-07 09:52:22
60,Config\GrantsConfig,submit_mfr_without_controls,"0",boolean,,2025-03-07 09:52:22,2025-03-07 09:52:22
61,Config\GrantsConfig,funding_balance_report_aggregate_method,receipt,string,,2025-03-07 09:52:22,2025-03-07 09:52:22
62,Config\GrantsConfig,allow_a_bank_to_be_linked_to_many_projects,1,boolean,,2025-03-07 09:52:22,2025-03-07 09:52:22
63,Config\GrantsConfig,default_theme,basic,string,,2025-03-17 17:47:33,2025-03-17 17:47:33
65,Config\GrantsConfig,dropTransactingOffices,1,boolean,,2025-03-23 13:50:47,2025-03-23 13:50:47
66,Config\GrantsConfig,select_module,chosen-select,string,,2025-04-10 14:21:18,2025-04-10 14:21:18
67,Config\GrantsConfig,dropOnlyCenter,1,boolean,,2025-04-29 09:20:37,2025-04-29 09:20:37
